[I 2025-04-07 02:55:29,051] A new study created in RDB with name: catboost
[I 2025-04-07 03:03:18,470] Trial 57 finished with value: 0.7978870279284646 and parameters: {'iterations': 180, 'learning_rate': 0.01849053813234708, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8465404318410819, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.42616972350912596}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:03:32,589] Trial 59 finished with value: 0.7887893916469413 and parameters: {'iterations': 169, 'learning_rate': 0.006237736948543904, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8654944766585259, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.7422295498203304}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:03:43,938] Trial 63 finished with value: 0.816501148383038 and parameters: {'iterations': 172, 'learning_rate': 0.15723675404931248, 'objective': 'Logloss', 'colsample_bylevel': 0.7838423341704739, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9226574930246825}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:04:00,508] Trial 67 finished with value: 0.8194354910984938 and parameters: {'iterations': 188, 'learning_rate': 0.35224049999362045, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9971550357290718, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9392550694244827}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:04:10,004] Trial 71 finished with value: 0.8187228258481956 and parameters: {'iterations': 195, 'learning_rate': 0.34612209174654784, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9983470055402883, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9642304240268573}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:05:00,730] Trial 73 finished with value: 0.8130631865476635 and parameters: {'iterations': 200, 'learning_rate': 0.05096968572314954, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9531001819404092, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8777843107389993}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:05:31,685] Trial 77 finished with value: 0.8185551636819252 and parameters: {'iterations': 186, 'learning_rate': 0.22404070423479236, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9656068677038676, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9612975869450285}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:05:49,053] Trial 81 finished with value: 0.8156625563867493 and parameters: {'iterations': 159, 'learning_rate': 0.14086945324645025, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.6559326635995277, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS', 'subsample': 0.9385557648407635}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:06:32,425] Trial 83 finished with value: 0.8166687754036914 and parameters: {'iterations': 218, 'learning_rate': 0.46141085701454837, 'objective': 'Logloss', 'colsample_bylevel': 0.8468429830327177, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8170912727245094}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:06:40,291] Trial 92 finished with value: 0.8147820883877124 and parameters: {'iterations': 186, 'learning_rate': 0.08862683897982554, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9032611384867196, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.18359220874227145}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:06:49,510] Trial 94 finished with value: 0.8190159754402428 and parameters: {'iterations': 196, 'learning_rate': 0.3765887117840465, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9969002421410359, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9777613376210205}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:06:57,719] Trial 96 finished with value: 0.81549440218184 and parameters: {'iterations': 195, 'learning_rate': 0.38354084207304434, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9314593043877181, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.979141183131956}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:07:08,345] Trial 100 finished with value: 0.8178001831086649 and parameters: {'iterations': 190, 'learning_rate': 0.12716572565169726, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9426426377279628, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9231407974012577}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:07:20,194] Trial 104 finished with value: 0.8191002019115701 and parameters: {'iterations': 179, 'learning_rate': 0.2662628477373354, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.908569909901456, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8934604188028218}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:07:30,131] Trial 105 finished with value: 0.8170038361441041 and parameters: {'iterations': 178, 'learning_rate': 0.2861057071493378, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9172141277301955, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.3587334348910425}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:07:42,373] Trial 106 finished with value: 0.8187226149744932 and parameters: {'iterations': 180, 'learning_rate': 0.2611093012057794, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8691672561928144, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8567168426368179}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:07:53,849] Trial 108 finished with value: 0.8179261274274638 and parameters: {'iterations': 174, 'learning_rate': 0.30467548666651884, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8993334829121948, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.7895879986506629}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:08:49,152] Trial 111 finished with value: 0.8191000964747189 and parameters: {'iterations': 203, 'learning_rate': 0.15275261648175553, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8113602140988538, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9421480532849646}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:09:15,499] Trial 117 finished with value: 0.8195612245435904 and parameters: {'iterations': 169, 'learning_rate': 0.1603979003927399, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7617530332341311, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9380551295471782}. Best is trial 115 with value: 0.8204418331250954.
[I 2025-04-07 03:09:46,083] Trial 121 finished with value: 0.8201064209285122 and parameters: {'iterations': 188, 'learning_rate': 0.17067002080552254, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8143052913365049, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9380518272575024}. Best is trial 115 with value: 0.8204418331250954.
[I 2025-04-07 03:10:15,289] Trial 125 finished with value: 0.8191420251958927 and parameters: {'iterations': 188, 'learning_rate': 0.2140239926520543, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7126061538046085, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9005583478062962}. Best is trial 115 with value: 0.8204418331250954.
[I 2025-04-07 03:10:42,850] Trial 129 finished with value: 0.819435561389728 and parameters: {'iterations': 182, 'learning_rate': 0.19354666291904915, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7366584068815445, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.964645730751392}. Best is trial 115 with value: 0.8204418331250954.
[I 2025-04-07 03:11:24,466] Trial 133 finished with value: 0.818764701850944 and parameters: {'iterations': 182, 'learning_rate': 0.13676077643310078, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.6660882658327597, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9701991168127656}. Best is trial 115 with value: 0.8204418331250954.
[I 2025-04-07 03:11:49,918] Trial 137 finished with value: 0.8190163971876476 and parameters: {'iterations': 175, 'learning_rate': 0.24144301611963137, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7281581208022558, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.994069933601458}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:12:31,309] Trial 141 finished with value: 0.8106733548775967 and parameters: {'iterations': 164, 'learning_rate': 0.3032273298359767, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7732877410097757, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.684104357179425}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:13:54,028] Trial 146 finished with value: 0.8195196999970126 and parameters: {'iterations': 184, 'learning_rate': 0.16774338789312643, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7472876301019791, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.91742277774304}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:15:12,715] Trial 151 finished with value: 0.8197289218554777 and parameters: {'iterations': 193, 'learning_rate': 0.2103867406890653, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.6169772267943844, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8685116876008606}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:16:30,896] Trial 157 finished with value: 0.818387378505995 and parameters: {'iterations': 188, 'learning_rate': 0.2622910977726842, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5980040577469382, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8853236092636089}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:17:37,610] Trial 161 finished with value: 0.8195612421163988 and parameters: {'iterations': 167, 'learning_rate': 0.20072080163237735, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5786374435678246, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9024815538851236}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:18:46,989] Trial 165 finished with value: 0.8189740818646858 and parameters: {'iterations': 166, 'learning_rate': 0.20373676554610187, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5680697857761287, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8390518326480075}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:19:56,030] Trial 169 finished with value: 0.8196031356919556 and parameters: {'iterations': 178, 'learning_rate': 0.29371234237336197, 'objective': 'Logloss', 'colsample_bylevel': 0.5352662144962974, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9282071852299242}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:20:59,246] Trial 175 finished with value: 0.8189741697287287 and parameters: {'iterations': 159, 'learning_rate': 0.23876163430889796, 'objective': 'Logloss', 'colsample_bylevel': 0.5817303061387308, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9458895517991023}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:21:24,132] Trial 179 finished with value: 0.8186809674182557 and parameters: {'iterations': 178, 'learning_rate': 0.2745695001205431, 'objective': 'Logloss', 'colsample_bylevel': 0.5438803814612481, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.88231214429586}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:21:46,604] Trial 182 finished with value: 0.8180520190278372 and parameters: {'iterations': 165, 'learning_rate': 0.5068595086035225, 'objective': 'Logloss', 'colsample_bylevel': 0.6035316159071753, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9779540986809828}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:23:03,629] Trial 185 finished with value: 0.8168363321331105 and parameters: {'iterations': 191, 'learning_rate': 0.41454706743260633, 'objective': 'Logloss', 'colsample_bylevel': 0.5825996508998564, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9052517216536151}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:24:06,337] Trial 190 finished with value: 0.8197288867098607 and parameters: {'iterations': 157, 'learning_rate': 0.31610302786199995, 'objective': 'Logloss', 'colsample_bylevel': 0.5200066268099698, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9225775321131654}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:25:04,076] Trial 194 finished with value: 0.8185131646695171 and parameters: {'iterations': 153, 'learning_rate': 0.27141543206077307, 'objective': 'Logloss', 'colsample_bylevel': 0.5076633352691178, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9548514433513103}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:25:56,691] Trial 198 finished with value: 0.8193096170709291 and parameters: {'iterations': 147, 'learning_rate': 0.3116994357121029, 'objective': 'Logloss', 'colsample_bylevel': 0.46070385040339834, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9801444235383587}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:26:30,301] Trial 201 finished with value: 0.8193936326685538 and parameters: {'iterations': 89, 'learning_rate': 0.22758232820928823, 'objective': 'Logloss', 'colsample_bylevel': 0.4685921849126443, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9832893841569487}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:27:09,274] Trial 205 finished with value: 0.819435754690622 and parameters: {'iterations': 107, 'learning_rate': 0.2580934682370259, 'objective': 'Logloss', 'colsample_bylevel': 0.5265073959329944, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9272409279341195}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:27:56,341] Trial 210 finished with value: 0.8191419900502759 and parameters: {'iterations': 122, 'learning_rate': 0.2687542437190122, 'objective': 'Logloss', 'colsample_bylevel': 0.5335383620189456, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9467339046773283}. Best is trial 177 with value: 0.8206089681071098.
