[I 2025-04-07 04:59:49,326] Using an existing study with name 'random-forest' instead of creating a new one.
[I 2025-04-07 05:05:58,470] Trial 101 finished with value: 0.8174651047954435 and parameters: {'n_estimators': 155, 'criterion': 'gini', 'max_depth': 60, 'min_samples_split': 4, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:06:10,134] Trial 105 finished with value: 0.8175068050701068 and parameters: {'n_estimators': 104, 'criterion': 'gini', 'max_depth': 62, 'min_samples_split': 3, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:06:21,078] Trial 109 finished with value: 0.8161656658952203 and parameters: {'n_estimators': 113, 'criterion': 'gini', 'max_depth': 63, 'min_samples_split': 8, 'min_samples_leaf': 2}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:06:33,887] Trial 114 finished with value: 0.8177166068312536 and parameters: {'n_estimators': 121, 'criterion': 'gini', 'max_depth': 61, 'min_samples_split': 3, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:06:47,992] Trial 118 finished with value: 0.8180100024426202 and parameters: {'n_estimators': 131, 'criterion': 'gini', 'max_depth': 61, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:07:02,838] Trial 122 finished with value: 0.81692017200265 and parameters: {'n_estimators': 129, 'criterion': 'entropy', 'max_depth': 42, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:07:15,714] Trial 126 finished with value: 0.8180938950305855 and parameters: {'n_estimators': 115, 'criterion': 'gini', 'max_depth': 47, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:07:25,672] Trial 131 finished with value: 0.8164588506328847 and parameters: {'n_estimators': 89, 'criterion': 'gini', 'max_depth': 47, 'min_samples_split': 9, 'min_samples_leaf': 3}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:07:38,047] Trial 135 finished with value: 0.8168782608542845 and parameters: {'n_estimators': 114, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 12, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:07:49,011] Trial 139 finished with value: 0.8127278622151227 and parameters: {'n_estimators': 102, 'criterion': 'gini', 'max_depth': 45, 'min_samples_split': 10, 'min_samples_leaf': 13}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:08:01,101] Trial 143 finished with value: 0.8128954892357761 and parameters: {'n_estimators': 117, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 10, 'min_samples_leaf': 11}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:08:12,072] Trial 147 finished with value: 0.8149495748258975 and parameters: {'n_estimators': 95, 'criterion': 'gini', 'max_depth': 49, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:08:23,746] Trial 150 finished with value: 0.8161654725943265 and parameters: {'n_estimators': 107, 'criterion': 'gini', 'max_depth': 48, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 146 with value: 0.8185131119510913.
[I 2025-04-07 05:08:37,149] Trial 154 finished with value: 0.816291276330657 and parameters: {'n_estimators': 125, 'criterion': 'gini', 'max_depth': 46, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 146 with value: 0.8185131119510913.
[I 2025-04-07 05:08:48,681] Trial 158 finished with value: 0.8187227379841528 and parameters: {'n_estimators': 99, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:08:59,532] Trial 162 finished with value: 0.8152849343040554 and parameters: {'n_estimators': 98, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:09:12,137] Trial 166 finished with value: 0.8157880789581433 and parameters: {'n_estimators': 113, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:09:23,741] Trial 170 finished with value: 0.8161236493100038 and parameters: {'n_estimators': 105, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:09:35,219] Trial 174 finished with value: 0.8161236493100038 and parameters: {'n_estimators': 105, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:09:46,939] Trial 178 finished with value: 0.8158298143784235 and parameters: {'n_estimators': 110, 'criterion': 'gini', 'max_depth': 49, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:09:57,865] Trial 183 finished with value: 0.8162072607330322 and parameters: {'n_estimators': 92, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 12, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:10:10,570] Trial 186 finished with value: 0.815871989118917 and parameters: {'n_estimators': 113, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:10:20,640] Trial 190 finished with value: 0.816249417900717 and parameters: {'n_estimators': 87, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:10:33,931] Trial 194 finished with value: 0.8181776821816994 and parameters: {'n_estimators': 118, 'criterion': 'gini', 'max_depth': 49, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
