[I 2025-04-07 01:41:33,219] Using an existing study with name 'adaboost' instead of creating a new one.
[I 2025-04-07 01:42:34,657] Trial 9 finished with value: 0.8048879294135427 and parameters: {'n_estimators': 35, 'learning_rate': 0.0019153220637765209, 'criterion': 'entropy', 'max_depth': 17, 'min_samples_split': 58, 'min_samples_leaf': 26}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:43:35,264] Trial 25 finished with value: 0.688969653516934 and parameters: {'n_estimators': 59, 'learning_rate': 6.283426701264777, 'criterion': 'gini', 'max_depth': 9, 'min_samples_split': 64, 'min_samples_leaf': 13}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:44:44,095] Trial 37 finished with value: 0.8173394767871986 and parameters: {'n_estimators': 53, 'learning_rate': 0.1498223966506486, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 64, 'min_samples_leaf': 7}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:46:20,659] Trial 55 finished with value: 0.8149496978355572 and parameters: {'n_estimators': 57, 'learning_rate': 0.016976328192829217, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 53, 'min_samples_leaf': 18}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:48:12,567] Trial 72 finished with value: 0.8077809584561233 and parameters: {'n_estimators': 64, 'learning_rate': 0.004638548380596994, 'criterion': 'log_loss', 'max_depth': 17, 'min_samples_split': 40, 'min_samples_leaf': 24}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:49:31,462] Trial 89 finished with value: 0.8161234208634927 and parameters: {'n_estimators': 50, 'learning_rate': 0.057670399644417766, 'criterion': 'entropy', 'max_depth': 13, 'min_samples_split': 56, 'min_samples_leaf': 17}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:50:15,715] Trial 102 finished with value: 0.8149080327065112 and parameters: {'n_estimators': 40, 'learning_rate': 0.03600230991941026, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 61, 'min_samples_leaf': 4}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:51:09,085] Trial 111 finished with value: 0.8160815975791698 and parameters: {'n_estimators': 41, 'learning_rate': 0.026304519501292936, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 59, 'min_samples_leaf': 16}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:51:42,790] Trial 127 finished with value: 0.8131053964337742 and parameters: {'n_estimators': 34, 'learning_rate': 0.09061567999556978, 'criterion': 'gini', 'max_depth': 9, 'min_samples_split': 62, 'min_samples_leaf': 14}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:52:18,706] Trial 141 finished with value: 0.8146982309453643 and parameters: {'n_estimators': 30, 'learning_rate': 0.03851526429621134, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 55, 'min_samples_leaf': 12}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:53:11,445] Trial 156 finished with value: 0.8096253652947574 and parameters: {'n_estimators': 28, 'learning_rate': 0.34341069117078027, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 64, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
