[I 2025-04-07 04:59:49,456] Using an existing study with name 'random-forest' instead of creating a new one.
[I 2025-04-07 05:00:01,577] Trial 3 finished with value: 0.8163331699062137 and parameters: {'n_estimators': 88, 'criterion': 'gini', 'max_depth': 59, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:00:19,935] Trial 4 finished with value: 0.7586456987915179 and parameters: {'n_estimators': 171, 'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 16, 'min_samples_leaf': 1}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:00:33,311] Trial 11 finished with value: 0.8121408074002611 and parameters: {'n_estimators': 109, 'criterion': 'entropy', 'max_depth': 45, 'min_samples_split': 9, 'min_samples_leaf': 12}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:00:56,588] Trial 15 finished with value: 0.8115958218890418 and parameters: {'n_estimators': 198, 'criterion': 'gini', 'max_depth': 62, 'min_samples_split': 20, 'min_samples_leaf': 19}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:01:03,249] Trial 21 finished with value: 0.8109249272046407 and parameters: {'n_estimators': 47, 'criterion': 'entropy', 'max_depth': 48, 'min_samples_split': 4, 'min_samples_leaf': 15}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:01:20,016] Trial 24 finished with value: 0.8161654901671349 and parameters: {'n_estimators': 133, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 7, 'min_samples_leaf': 4}. Best is trial 22 with value: 0.8174649466401668.
[I 2025-04-07 05:01:31,898] Trial 28 finished with value: 0.8177586234164703 and parameters: {'n_estimators': 85, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 8, 'min_samples_leaf': 3}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:01:41,370] Trial 32 finished with value: 0.8136079084667548 and parameters: {'n_estimators': 72, 'criterion': 'entropy', 'max_depth': 42, 'min_samples_split': 11, 'min_samples_leaf': 10}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:01:55,422] Trial 37 finished with value: 0.8162913817675083 and parameters: {'n_estimators': 100, 'criterion': 'entropy', 'max_depth': 58, 'min_samples_split': 9, 'min_samples_leaf': 6}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:02:09,514] Trial 41 finished with value: 0.817045764865278 and parameters: {'n_estimators': 115, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 8, 'min_samples_leaf': 1}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:02:24,452] Trial 45 finished with value: 0.816752457117954 and parameters: {'n_estimators': 118, 'criterion': 'gini', 'max_depth': 46, 'min_samples_split': 5, 'min_samples_leaf': 1}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:02:32,601] Trial 49 finished with value: 0.8157464138290974 and parameters: {'n_estimators': 61, 'criterion': 'gini', 'max_depth': 37, 'min_samples_split': 7, 'min_samples_leaf': 3}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:02:50,977] Trial 53 finished with value: 0.81448864005792 and parameters: {'n_estimators': 151, 'criterion': 'entropy', 'max_depth': 32, 'min_samples_split': 17, 'min_samples_leaf': 8}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:03:07,761] Trial 57 finished with value: 0.8162493476094831 and parameters: {'n_estimators': 131, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:03:23,099] Trial 61 finished with value: 0.8180519311637944 and parameters: {'n_estimators': 112, 'criterion': 'gini', 'max_depth': 61, 'min_samples_split': 3, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:03:37,680] Trial 65 finished with value: 0.8178003236911332 and parameters: {'n_estimators': 108, 'criterion': 'gini', 'max_depth': 44, 'min_samples_split': 3, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:03:51,303] Trial 69 finished with value: 0.8139017961167607 and parameters: {'n_estimators': 129, 'criterion': 'gini', 'max_depth': 44, 'min_samples_split': 3, 'min_samples_leaf': 12}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:04:05,014] Trial 73 finished with value: 0.8153687566007862 and parameters: {'n_estimators': 108, 'criterion': 'gini', 'max_depth': 38, 'min_samples_split': 6, 'min_samples_leaf': 2}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:04:20,222] Trial 77 finished with value: 0.8172974777747903 and parameters: {'n_estimators': 112, 'criterion': 'gini', 'max_depth': 34, 'min_samples_split': 4, 'min_samples_leaf': 2}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:04:37,022] Trial 80 finished with value: 0.8173813703627554 and parameters: {'n_estimators': 121, 'criterion': 'gini', 'max_depth': 44, 'min_samples_split': 4, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:04:53,718] Trial 85 finished with value: 0.8175908382405401 and parameters: {'n_estimators': 124, 'criterion': 'gini', 'max_depth': 64, 'min_samples_split': 3, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:05:10,038] Trial 89 finished with value: 0.8162074716067347 and parameters: {'n_estimators': 126, 'criterion': 'gini', 'max_depth': 64, 'min_samples_split': 2, 'min_samples_leaf': 3}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:05:25,474] Trial 93 finished with value: 0.8174652278051037 and parameters: {'n_estimators': 117, 'criterion': 'gini', 'max_depth': 48, 'min_samples_split': 2, 'min_samples_leaf': 2}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:05:38,272] Trial 96 finished with value: 0.8166266533816234 and parameters: {'n_estimators': 97, 'criterion': 'gini', 'max_depth': 57, 'min_samples_split': 5, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:05:49,807] Trial 100 finished with value: 0.8175070335166177 and parameters: {'n_estimators': 88, 'criterion': 'gini', 'max_depth': 60, 'min_samples_split': 3, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:06:02,211] Trial 104 finished with value: 0.8178005872832614 and parameters: {'n_estimators': 105, 'criterion': 'gini', 'max_depth': 62, 'min_samples_split': 4, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:06:14,121] Trial 108 finished with value: 0.8162075067523518 and parameters: {'n_estimators': 111, 'criterion': 'gini', 'max_depth': 63, 'min_samples_split': 8, 'min_samples_leaf': 2}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:06:16,201] Trial 112 finished with value: 0.8110927475261878 and parameters: {'n_estimators': 10, 'criterion': 'gini', 'max_depth': 58, 'min_samples_split': 9, 'min_samples_leaf': 3}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:06:28,585] Trial 113 finished with value: 0.8110508363778225 and parameters: {'n_estimators': 120, 'criterion': 'gini', 'max_depth': 45, 'min_samples_split': 6, 'min_samples_leaf': 16}. Best is trial 59 with value: 0.8183034683452213.
