[I 2025-04-07 01:41:32,972] A new study created in RDB with name: adaboost
[I 2025-04-07 02:06:42,892] Trial 343 finished with value: 0.813021363263341 and parameters: {'n_estimators': 36, 'learning_rate': 0.052631752866438834, 'criterion': 'log_loss', 'max_depth': 9, 'min_samples_split': 61, 'min_samples_leaf': 30}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:07:26,008] Trial 358 finished with value: 0.8159977577096305 and parameters: {'n_estimators': 32, 'learning_rate': 0.05099151549060186, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 59, 'min_samples_leaf': 26}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:08:18,040] Trial 372 finished with value: 0.815452965499305 and parameters: {'n_estimators': 38, 'learning_rate': 0.030064761292809473, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 58, 'min_samples_leaf': 27}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:09:04,321] Trial 387 finished with value: 0.8141112639945455 and parameters: {'n_estimators': 35, 'learning_rate': 0.15107883524210663, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 64, 'min_samples_leaf': 23}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:10:03,512] Trial 402 finished with value: 0.8157880965309519 and parameters: {'n_estimators': 33, 'learning_rate': 0.08417308128199498, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 62, 'min_samples_leaf': 14}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:11:17,788] Trial 418 finished with value: 0.8170041700274663 and parameters: {'n_estimators': 53, 'learning_rate': 0.04094746290569911, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 54, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:12:02,297] Trial 438 finished with value: 0.8160819666081492 and parameters: {'n_estimators': 31, 'learning_rate': 0.060615296709590975, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 52, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:13:27,511] Trial 449 finished with value: 0.8172137433421023 and parameters: {'n_estimators': 57, 'learning_rate': 0.02150702975705692, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 56, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:14:25,511] Trial 464 finished with value: 0.8162072783058406 and parameters: {'n_estimators': 37, 'learning_rate': 0.026462915689344634, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 58, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:15:54,595] Trial 474 finished with value: 0.8161655604583691 and parameters: {'n_estimators': 56, 'learning_rate': 0.01763196301889977, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 58, 'min_samples_leaf': 18}. Best is trial 460 with value: 0.8184711480843003.
[I 2025-04-07 02:17:24,415] Trial 489 finished with value: 0.8155784704978905 and parameters: {'n_estimators': 54, 'learning_rate': 0.013431889301332399, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 51, 'min_samples_leaf': 16}. Best is trial 460 with value: 0.8184711480843003.
[I 2025-04-07 02:18:50,005] Trial 504 finished with value: 0.8167108095617165 and parameters: {'n_estimators': 56, 'learning_rate': 0.03317366105228315, 'criterion': 'entropy', 'max_depth': 12, 'min_samples_split': 55, 'min_samples_leaf': 14}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:19:13,279] Trial 521 finished with value: 0.814027916163645 and parameters: {'n_estimators': 18, 'learning_rate': 0.024170970047033436, 'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 57, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:20:49,677] Trial 527 finished with value: 0.8162073134514578 and parameters: {'n_estimators': 59, 'learning_rate': 0.024548500585957558, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 60, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:22:12,370] Trial 542 finished with value: 0.8172138839245704 and parameters: {'n_estimators': 61, 'learning_rate': 0.01950580885733234, 'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 52, 'min_samples_leaf': 18}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:23:29,130] Trial 558 finished with value: 0.8160398445860813 and parameters: {'n_estimators': 57, 'learning_rate': 0.042381799676930634, 'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 54, 'min_samples_leaf': 18}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:24:02,475] Trial 573 finished with value: 0.8140274065521973 and parameters: {'n_estimators': 24, 'learning_rate': 0.032665545097720544, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 59, 'min_samples_leaf': 28}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:25:33,304] Trial 580 finished with value: 0.8169619601413558 and parameters: {'n_estimators': 58, 'learning_rate': 0.02864336814176774, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 58, 'min_samples_leaf': 15}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:27:13,544] Trial 596 finished with value: 0.8167104053871203 and parameters: {'n_estimators': 64, 'learning_rate': 0.05577312171686722, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 61, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:28:24,471] Trial 610 finished with value: 0.8155367175048017 and parameters: {'n_estimators': 50, 'learning_rate': 0.014857500152584706, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 60, 'min_samples_leaf': 19}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:29:45,337] Trial 624 finished with value: 0.8150754137078451 and parameters: {'n_estimators': 60, 'learning_rate': 0.025228361830992408, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 56, 'min_samples_leaf': 26}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:31:05,529] Trial 640 finished with value: 0.8143212239109692 and parameters: {'n_estimators': 58, 'learning_rate': 0.046071263780668836, 'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 41, 'min_samples_leaf': 24}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:32:26,948] Trial 653 finished with value: 0.8170461690398744 and parameters: {'n_estimators': 56, 'learning_rate': 0.04059070129497898, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 59, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:33:19,790] Trial 668 finished with value: 0.8159978982920986 and parameters: {'n_estimators': 36, 'learning_rate': 0.07460504495979459, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 55, 'min_samples_leaf': 11}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:34:02,029] Trial 684 finished with value: 0.8141114221498222 and parameters: {'n_estimators': 34, 'learning_rate': 0.09600670768832893, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 53, 'min_samples_leaf': 18}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:35:30,257] Trial 693 finished with value: 0.8167943858391279 and parameters: {'n_estimators': 55, 'learning_rate': 0.03487386821232745, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 57, 'min_samples_leaf': 13}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:36:47,770] Trial 711 finished with value: 0.817255373325531 and parameters: {'n_estimators': 51, 'learning_rate': 0.049670189133022576, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 58, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:38:15,198] Trial 728 finished with value: 0.8171300089094139 and parameters: {'n_estimators': 52, 'learning_rate': 0.0272459493828055, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 58, 'min_samples_leaf': 15}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:39:46,107] Trial 743 finished with value: 0.8153688268920204 and parameters: {'n_estimators': 53, 'learning_rate': 0.017335835647002567, 'criterion': 'log_loss', 'max_depth': 16, 'min_samples_split': 60, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:41:06,771] Trial 758 finished with value: 0.8164591142250128 and parameters: {'n_estimators': 54, 'learning_rate': 0.01636005353980706, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 55, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:42:25,938] Trial 773 finished with value: 0.8172136554780595 and parameters: {'n_estimators': 56, 'learning_rate': 0.0339172726401931, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 57, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
訓練集準確率: 0.8659288139856621
測試集準確率: 0.8076794097920859
10-fold CV 準確率:  0.8187649127246465

