[I 2025-04-07 01:41:33,139] Using an existing study with name 'adaboost' instead of creating a new one.
[I 2025-04-07 01:42:43,547] Trial 8 finished with value: 0.7859807296581562 and parameters: {'n_estimators': 35, 'learning_rate': 1.0594189726851302, 'criterion': 'log_loss', 'max_depth': 23, 'min_samples_split': 14, 'min_samples_leaf': 22}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:44:00,095] Trial 27 finished with value: 0.6941635255271403 and parameters: {'n_estimators': 62, 'learning_rate': 9.75951097935175, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 45, 'min_samples_leaf': 13}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:44:20,205] Trial 41 finished with value: 0.7806985015666159 and parameters: {'n_estimators': 52, 'learning_rate': 0.14919523424121653, 'criterion': 'log_loss', 'max_depth': 3, 'min_samples_split': 63, 'min_samples_leaf': 7}. Best is trial 30 with value: 0.815117377574636.
[I 2025-04-07 01:44:59,744] Trial 47 finished with value: 0.8072780246757377 and parameters: {'n_estimators': 52, 'learning_rate': 0.01647868607958444, 'criterion': 'log_loss', 'max_depth': 6, 'min_samples_split': 55, 'min_samples_leaf': 19}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:46:39,972] Trial 63 finished with value: 0.799479739430395 and parameters: {'n_estimators': 57, 'learning_rate': 0.6084133236269889, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 50, 'min_samples_leaf': 9}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:48:28,842] Trial 77 finished with value: 0.8102123322455764 and parameters: {'n_estimators': 64, 'learning_rate': 0.0057380089763115006, 'criterion': 'entropy', 'max_depth': 17, 'min_samples_split': 40, 'min_samples_leaf': 21}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:49:29,277] Trial 93 finished with value: 0.8161654374487094 and parameters: {'n_estimators': 42, 'learning_rate': 0.028616087098141153, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 47, 'min_samples_leaf': 4}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:50:24,100] Trial 101 finished with value: 0.8161654901671349 and parameters: {'n_estimators': 40, 'learning_rate': 0.03458770156477436, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 58, 'min_samples_leaf': 4}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:51:14,785] Trial 114 finished with value: 0.8173815460908409 and parameters: {'n_estimators': 37, 'learning_rate': 0.08749133483717177, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 58, 'min_samples_leaf': 16}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:51:47,930] Trial 129 finished with value: 0.8113867933314705 and parameters: {'n_estimators': 33, 'learning_rate': 0.009525120203333145, 'criterion': 'gini', 'max_depth': 9, 'min_samples_split': 62, 'min_samples_leaf': 7}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:52:19,891] Trial 144 finished with value: 0.8160818435984896 and parameters: {'n_estimators': 26, 'learning_rate': 0.04224338496437156, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 62, 'min_samples_leaf': 12}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:53:26,190] Trial 157 finished with value: 0.8087447742860607 and parameters: {'n_estimators': 29, 'learning_rate': 0.3186616719154859, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 57, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:54:48,839] Trial 171 finished with value: 0.8049304028917813 and parameters: {'n_estimators': 47, 'learning_rate': 0.0011595173774553921, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 57, 'min_samples_leaf': 6}. Best is trial 121 with value: 0.8182618559346011.
