[I 2025-04-07 02:55:29,127] Using an existing study with name 'catboost' instead of creating a new one.
[I 2025-04-07 03:02:56,068] Trial 51 finished with value: 0.8083679781253679 and parameters: {'iterations': 204, 'learning_rate': 0.10420909843747765, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9080294383300974, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.000718879465115}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:03:20,513] Trial 55 finished with value: 0.8011989927266144 and parameters: {'iterations': 180, 'learning_rate': 0.01915629454602274, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9333578899352708, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8465701761770531}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:03:33,235] Trial 60 finished with value: 0.8167103878143116 and parameters: {'iterations': 163, 'learning_rate': 0.46824268968993704, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.3878278012684309, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.7666597948507646}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:03:48,470] Trial 64 finished with value: 0.8178007102929211 and parameters: {'iterations': 171, 'learning_rate': 0.167136259221532, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.800911585855753, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9379315862956613}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:04:02,430] Trial 68 finished with value: 0.8169621885878666 and parameters: {'iterations': 189, 'learning_rate': 0.33038712741967075, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9935880747366109, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.26152493194782317}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:04:13,233] Trial 72 finished with value: 0.8170877990233032 and parameters: {'iterations': 198, 'learning_rate': 0.377027660530546, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9593528677490472, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9977027112504392}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:05:11,446] Trial 75 finished with value: 0.818428850334147 and parameters: {'iterations': 203, 'learning_rate': 0.23741096892737468, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.720130937915405, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8868981502370656}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:05:38,884] Trial 79 finished with value: 0.8178844447256093 and parameters: {'iterations': 185, 'learning_rate': 0.13916426244516436, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.6503038029147392, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9526221012892367}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:05:54,402] Trial 82 finished with value: 0.8117637300746319 and parameters: {'iterations': 158, 'learning_rate': 0.08637541796584192, 'objective': 'Logloss', 'colsample_bylevel': 0.9760986817371433, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS', 'subsample': 0.8181821022523106}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:06:12,249] Trial 84 finished with value: 0.8180520717462627 and parameters: {'iterations': 192, 'learning_rate': 0.45930412721950603, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5188805246151529, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.874243759016188}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:06:26,368] Trial 87 finished with value: 0.8177167298409135 and parameters: {'iterations': 175, 'learning_rate': 0.3136023901195934, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8407406812852343, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.4842294483831124}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:06:42,898] Trial 90 finished with value: 0.8179263207283579 and parameters: {'iterations': 185, 'learning_rate': 0.182867583863167, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8766737985023962, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8307402620370954}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:06:51,468] Trial 95 finished with value: 0.8187226501201101 and parameters: {'iterations': 196, 'learning_rate': 0.27882928416751535, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9963430374119463, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9754460243612262}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:07:07,865] Trial 97 finished with value: 0.8106730209942343 and parameters: {'iterations': 206, 'learning_rate': 0.3854255971248085, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9350458476741249, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5697491854829484}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:07:30,455] Trial 103 finished with value: 0.8179684076048085 and parameters: {'iterations': 179, 'learning_rate': 0.12619458691365026, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9793114543144283, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9959493782886459}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:07:42,545] Trial 107 finished with value: 0.8162075243251602 and parameters: {'iterations': 175, 'learning_rate': 0.6829250223565628, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8682123799141719, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8641242908138134}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:07:52,544] Trial 109 finished with value: 0.8176749768478248 and parameters: {'iterations': 162, 'learning_rate': 0.20237904419539726, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9052343354029803, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8889381638227692}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:08:47,550] Trial 110 finished with value: 0.7864837864482016 and parameters: {'iterations': 214, 'learning_rate': 0.0010683799884873189, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8261356498045584, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.28850843406315874}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:09:01,411] Trial 116 finished with value: 0.8188905934513173 and parameters: {'iterations': 170, 'learning_rate': 0.33813909217821836, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9883093951585968, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5426569326887635}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:09:17,658] Trial 118 finished with value: 0.8168365957252387 and parameters: {'iterations': 170, 'learning_rate': 0.1664803656528238, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9807044547565053, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9441066724495902}. Best is trial 115 with value: 0.8204418331250954.
[I 2025-04-07 03:09:47,060] Trial 122 finished with value: 0.8190580271710765 and parameters: {'iterations': 188, 'learning_rate': 0.22285839121653606, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7957328328230285, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9330644895165237}. Best is trial 115 with value: 0.8204418331250954.
[I 2025-04-07 03:10:30,604] Trial 126 finished with value: 0.8198127617250173 and parameters: {'iterations': 181, 'learning_rate': 0.24866120880108822, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7183784356810151, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9033896439438758}. Best is trial 115 with value: 0.8204418331250954.
