[I 2025-04-07 01:41:33,090] Using an existing study with name 'adaboost' instead of creating a new one.
[I 2025-04-07 01:42:20,938] Trial 2 finished with value: 0.8063970470652532 and parameters: {'n_estimators': 23, 'learning_rate': 0.049055740695165585, 'criterion': 'entropy', 'max_depth': 27, 'min_samples_split': 28, 'min_samples_leaf': 10}. Best is trial 14 with value: 0.8119725477585005.
[I 2025-04-07 01:43:47,064] Trial 20 finished with value: 0.8037981692648064 and parameters: {'n_estimators': 58, 'learning_rate': 0.00013788482276710942, 'criterion': 'gini', 'max_depth': 19, 'min_samples_split': 38, 'min_samples_leaf': 29}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:44:40,550] Trial 39 finished with value: 0.8142790491704754 and parameters: {'n_estimators': 53, 'learning_rate': 0.1489036322890772, 'criterion': 'log_loss', 'max_depth': 8, 'min_samples_split': 63, 'min_samples_leaf': 6}. Best is trial 32 with value: 0.8155366999319933.
[I 2025-04-07 01:45:59,500] Trial 53 finished with value: 0.8131050098319863 and parameters: {'n_estimators': 48, 'learning_rate': 0.013444565292486572, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 50, 'min_samples_leaf': 19}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:47:51,501] Trial 66 finished with value: 0.804804441000174 and parameters: {'n_estimators': 57, 'learning_rate': 0.5417876227087297, 'criterion': 'log_loss', 'max_depth': 16, 'min_samples_split': 41, 'min_samples_leaf': 3}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:49:42,035] Trial 84 finished with value: 0.8133146710106651 and parameters: {'n_estimators': 63, 'learning_rate': 0.04029481990475098, 'criterion': 'entropy', 'max_depth': 19, 'min_samples_split': 57, 'min_samples_leaf': 21}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:50:36,833] Trial 105 finished with value: 0.8159138475488568 and parameters: {'n_estimators': 41, 'learning_rate': 0.02311748600542789, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 61, 'min_samples_leaf': 5}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:51:28,205] Trial 118 finished with value: 0.8158299725337003 and parameters: {'n_estimators': 37, 'learning_rate': 0.09290172184172515, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 59, 'min_samples_leaf': 14}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:52:05,134] Trial 134 finished with value: 0.814865805247592 and parameters: {'n_estimators': 32, 'learning_rate': 0.03636967582736106, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 62, 'min_samples_leaf': 8}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:52:36,153] Trial 148 finished with value: 0.8123921688536028 and parameters: {'n_estimators': 22, 'learning_rate': 0.04247148246680277, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 24, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:53:39,311] Trial 160 finished with value: 0.813817780519136 and parameters: {'n_estimators': 28, 'learning_rate': 0.17197638569852755, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 64, 'min_samples_leaf': 6}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:54:54,668] Trial 173 finished with value: 0.8157882019678031 and parameters: {'n_estimators': 47, 'learning_rate': 0.02186305838925148, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 57, 'min_samples_leaf': 5}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:55:32,315] Trial 189 finished with value: 0.8153692134938083 and parameters: {'n_estimators': 35, 'learning_rate': 0.029523297023408668, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 4}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:56:36,113] Trial 202 finished with value: 0.8139853548213637 and parameters: {'n_estimators': 44, 'learning_rate': 0.13867260584293514, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 58, 'min_samples_leaf': 10}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:57:49,141] Trial 218 finished with value: 0.8150336431419479 and parameters: {'n_estimators': 46, 'learning_rate': 0.025275973462848832, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 31, 'min_samples_leaf': 4}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:58:54,049] Trial 236 finished with value: 0.8144886927763457 and parameters: {'n_estimators': 46, 'learning_rate': 0.08722956338561802, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 15, 'min_samples_leaf': 18}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:59:49,562] Trial 253 finished with value: 0.8160399851685496 and parameters: {'n_estimators': 38, 'learning_rate': 0.04812360518470946, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 5, 'min_samples_leaf': 20}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:00:34,723] Trial 263 finished with value: 0.8159559344253076 and parameters: {'n_estimators': 35, 'learning_rate': 0.06310247700778726, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 63, 'min_samples_leaf': 19}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:02:03,476] Trial 277 finished with value: 0.8154946306283509 and parameters: {'n_estimators': 59, 'learning_rate': 0.04976452882963127, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 12, 'min_samples_leaf': 19}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:03:12,899] Trial 293 finished with value: 0.814237331323004 and parameters: {'n_estimators': 58, 'learning_rate': 0.038019310395017804, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 63, 'min_samples_leaf': 19}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:04:29,147] Trial 307 finished with value: 0.8130210820984042 and parameters: {'n_estimators': 51, 'learning_rate': 0.2201801998180629, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 64, 'min_samples_leaf': 20}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:06:21,002] Trial 319 finished with value: 0.8019535339796612 and parameters: {'n_estimators': 63, 'learning_rate': 0.00031311368907619515, 'criterion': 'log_loss', 'max_depth': 29, 'min_samples_split': 62, 'min_samples_leaf': 18}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:07:01,421] Trial 349 finished with value: 0.8134826319146805 and parameters: {'n_estimators': 36, 'learning_rate': 0.053652164018287006, 'criterion': 'log_loss', 'max_depth': 9, 'min_samples_split': 61, 'min_samples_leaf': 25}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:07:43,646] Trial 364 finished with value: 0.8164593953899493 and parameters: {'n_estimators': 32, 'learning_rate': 0.02963393685197497, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 59, 'min_samples_leaf': 25}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:08:36,557] Trial 379 finished with value: 0.8174651926594864 and parameters: {'n_estimators': 38, 'learning_rate': 0.0698790910310169, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 64, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:09:22,223] Trial 393 finished with value: 0.8145727435195875 and parameters: {'n_estimators': 35, 'learning_rate': 0.07485217391485478, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 62, 'min_samples_leaf': 14}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:10:19,692] Trial 407 finished with value: 0.8162914872043594 and parameters: {'n_estimators': 34, 'learning_rate': 0.09345910262671621, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 57, 'min_samples_leaf': 1}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:11:10,384] Trial 422 finished with value: 0.8171299561909884 and parameters: {'n_estimators': 37, 'learning_rate': 0.040435089482808495, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 55, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:12:09,881] Trial 435 finished with value: 0.8176748011197393 and parameters: {'n_estimators': 37, 'learning_rate': 0.06216327269781953, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 55, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:13:37,857] Trial 452 finished with value: 0.8160817908800638 and parameters: {'n_estimators': 57, 'learning_rate': 0.022099363513294855, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 56, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:14:48,490] Trial 467 finished with value: 0.8133565294406049 and parameters: {'n_estimators': 37, 'learning_rate': 0.025919009675526593, 'criterion': 'log_loss', 'max_depth': 31, 'min_samples_split': 58, 'min_samples_leaf': 18}. Best is trial 460 with value: 0.8184711480843003.
