[I 2025-04-07 05:05:43,940] Trial 99 finished with value: 0.8154947360652022 and parameters: {'n_estimators': 96, 'criterion': 'gini', 'max_depth': 62, 'min_samples_split': 7, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:05:59,502] Trial 102 finished with value: 0.8172974426291735 and parameters: {'n_estimators': 134, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 4, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:06:11,041] Trial 106 finished with value: 0.816794350693511 and parameters: {'n_estimators': 106, 'criterion': 'gini', 'max_depth': 62, 'min_samples_split': 3, 'min_samples_leaf': 2}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:06:21,825] Trial 110 finished with value: 0.816123561445961 and parameters: {'n_estimators': 111, 'criterion': 'gini', 'max_depth': 63, 'min_samples_split': 9, 'min_samples_leaf': 2}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:06:34,534] Trial 115 finished with value: 0.817674660537271 and parameters: {'n_estimators': 119, 'criterion': 'gini', 'max_depth': 61, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:06:48,951] Trial 119 finished with value: 0.8178842689975239 and parameters: {'n_estimators': 129, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:07:03,421] Trial 123 finished with value: 0.81692017200265 and parameters: {'n_estimators': 129, 'criterion': 'entropy', 'max_depth': 41, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:07:17,641] Trial 127 finished with value: 0.8177165365400194 and parameters: {'n_estimators': 133, 'criterion': 'gini', 'max_depth': 47, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:07:27,312] Trial 132 finished with value: 0.8165007969268672 and parameters: {'n_estimators': 90, 'criterion': 'gini', 'max_depth': 49, 'min_samples_split': 9, 'min_samples_leaf': 3}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:07:39,823] Trial 136 finished with value: 0.8181358237517594 and parameters: {'n_estimators': 115, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:07:50,429] Trial 140 finished with value: 0.8182615220512389 and parameters: {'n_estimators': 102, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:08:02,231] Trial 144 finished with value: 0.8158720242645341 and parameters: {'n_estimators': 116, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 10, 'min_samples_leaf': 7}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:08:14,723] Trial 148 finished with value: 0.8164169219117106 and parameters: {'n_estimators': 110, 'criterion': 'gini', 'max_depth': 49, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 146 with value: 0.8185131119510913.
[I 2025-04-07 05:08:26,901] Trial 152 finished with value: 0.815704116078944 and parameters: {'n_estimators': 108, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 146 with value: 0.8185131119510913.
[I 2025-04-07 05:08:40,224] Trial 156 finished with value: 0.8167524219723369 and parameters: {'n_estimators': 123, 'criterion': 'gini', 'max_depth': 46, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 146 with value: 0.8185131119510913.
[I 2025-04-07 05:08:51,788] Trial 160 finished with value: 0.8150333268313942 and parameters: {'n_estimators': 100, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:09:03,132] Trial 164 finished with value: 0.8164588506328847 and parameters: {'n_estimators': 99, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:09:15,507] Trial 168 finished with value: 0.8183034507724127 and parameters: {'n_estimators': 112, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:09:26,073] Trial 172 finished with value: 0.8167944385575536 and parameters: {'n_estimators': 84, 'criterion': 'entropy', 'max_depth': 55, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:09:37,728] Trial 176 finished with value: 0.8154525788975171 and parameters: {'n_estimators': 104, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
