[I 2025-04-07 01:41:33,179] Using an existing study with name 'adaboost' instead of creating a new one.
[I 2025-04-07 01:42:42,732] Trial 11 finished with value: 0.8021210907090804 and parameters: {'n_estimators': 46, 'learning_rate': 0.0003062088456020616, 'criterion': 'gini', 'max_depth': 27, 'min_samples_split': 3, 'min_samples_leaf': 28}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:44:01,666] Trial 26 finished with value: 0.7630061627839546 and parameters: {'n_estimators': 60, 'learning_rate': 6.5523524673287445, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 45, 'min_samples_leaf': 13}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:44:38,181] Trial 42 finished with value: 0.8030019980283308 and parameters: {'n_estimators': 53, 'learning_rate': 0.1317201689434195, 'criterion': 'log_loss', 'max_depth': 5, 'min_samples_split': 64, 'min_samples_leaf': 6}. Best is trial 32 with value: 0.8155366999319933.
[I 2025-04-07 01:46:09,134] Trial 50 finished with value: 0.8141531224244851 and parameters: {'n_estimators': 56, 'learning_rate': 0.01149879260024445, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 52, 'min_samples_leaf': 19}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:48:08,965] Trial 68 finished with value: 0.8042171401659928 and parameters: {'n_estimators': 64, 'learning_rate': 0.5438344682573549, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 33, 'min_samples_leaf': 1}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:49:37,801] Trial 88 finished with value: 0.8128950323427542 and parameters: {'n_estimators': 50, 'learning_rate': 0.05699555495562963, 'criterion': 'entropy', 'max_depth': 19, 'min_samples_split': 47, 'min_samples_leaf': 21}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:50:23,942] Trial 104 finished with value: 0.8145307972256048 and parameters: {'n_estimators': 41, 'learning_rate': 0.025092059031150193, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 61, 'min_samples_leaf': 5}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:51:14,029] Trial 113 finished with value: 0.8139018488351863 and parameters: {'n_estimators': 37, 'learning_rate': 0.08982121799317153, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 59, 'min_samples_leaf': 14}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:51:46,016] Trial 128 finished with value: 0.8140696867295422 and parameters: {'n_estimators': 33, 'learning_rate': 0.10875455696390401, 'criterion': 'gini', 'max_depth': 9, 'min_samples_split': 55, 'min_samples_leaf': 7}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:52:22,605] Trial 142 finished with value: 0.8154530709361563 and parameters: {'n_estimators': 31, 'learning_rate': 0.04277794573375756, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 55, 'min_samples_leaf': 12}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:53:46,054] Trial 158 finished with value: 0.8136500656344399 and parameters: {'n_estimators': 39, 'learning_rate': 0.17431468920046506, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 57, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
