[I 2025-04-07 01:41:33,094] Using an existing study with name 'adaboost' instead of creating a new one.
[I 2025-04-07 01:42:52,818] Trial 4 finished with value: 0.8122662772532296 and parameters: {'n_estimators': 39, 'learning_rate': 0.06601733653076801, 'criterion': 'entropy', 'max_depth': 18, 'min_samples_split': 5, 'min_samples_leaf': 10}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:44:17,615] Trial 28 finished with value: 0.7681209571557355 and parameters: {'n_estimators': 60, 'learning_rate': 5.018468134062492, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 64, 'min_samples_leaf': 15}. Best is trial 30 with value: 0.815117377574636.
[I 2025-04-07 01:44:56,872] Trial 46 finished with value: 0.8081167396816861 and parameters: {'n_estimators': 53, 'learning_rate': 0.13160734845762104, 'criterion': 'log_loss', 'max_depth': 6, 'min_samples_split': 58, 'min_samples_leaf': 19}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:46:21,038] Trial 61 finished with value: 0.796335717963452 and parameters: {'n_estimators': 49, 'learning_rate': 0.6946393858273842, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 52, 'min_samples_leaf': 24}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:48:13,518] Trial 74 finished with value: 0.8068163694226103 and parameters: {'n_estimators': 64, 'learning_rate': 0.002654824370442685, 'criterion': 'entropy', 'max_depth': 17, 'min_samples_split': 41, 'min_samples_leaf': 21}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:49:24,939] Trial 90 finished with value: 0.8144051340717429 and parameters: {'n_estimators': 44, 'learning_rate': 0.06063871930433681, 'criterion': 'gini', 'max_depth': 19, 'min_samples_split': 56, 'min_samples_leaf': 17}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:50:24,773] Trial 99 finished with value: 0.816333169906214 and parameters: {'n_estimators': 42, 'learning_rate': 0.07864128870049689, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 61, 'min_samples_leaf': 14}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:51:08,707] Trial 115 finished with value: 0.8165424796287217 and parameters: {'n_estimators': 33, 'learning_rate': 0.08986216741486175, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 59, 'min_samples_leaf': 16}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:51:47,188] Trial 126 finished with value: 0.8136921700836993 and parameters: {'n_estimators': 36, 'learning_rate': 0.10220022172702453, 'criterion': 'gini', 'max_depth': 9, 'min_samples_split': 59, 'min_samples_leaf': 14}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:52:27,540] Trial 143 finished with value: 0.8132309190051682 and parameters: {'n_estimators': 30, 'learning_rate': 0.040138162418639954, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 26, 'min_samples_leaf': 11}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:54:03,073] Trial 159 finished with value: 0.8145725677915021 and parameters: {'n_estimators': 39, 'learning_rate': 0.16596386956525533, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 57, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:55:09,391] Trial 175 finished with value: 0.8166688281221169 and parameters: {'n_estimators': 43, 'learning_rate': 0.06552021758041295, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 60, 'min_samples_leaf': 5}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:56:12,482] Trial 191 finished with value: 0.8164170097757533 and parameters: {'n_estimators': 44, 'learning_rate': 0.029018597789599896, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 60, 'min_samples_leaf': 4}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:57:14,270] Trial 212 finished with value: 0.815578523216316 and parameters: {'n_estimators': 46, 'learning_rate': 0.05549291548147378, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 8, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:58:13,719] Trial 227 finished with value: 0.8126440047727748 and parameters: {'n_estimators': 40, 'learning_rate': 0.014982920026667595, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 2, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:59:00,066] Trial 242 finished with value: 0.8170039767265724 and parameters: {'n_estimators': 35, 'learning_rate': 0.08298687818396366, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 63, 'min_samples_leaf': 18}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:59:46,795] Trial 255 finished with value: 0.8171718146209281 and parameters: {'n_estimators': 35, 'learning_rate': 0.048985027028606756, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 63, 'min_samples_leaf': 20}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:00:31,920] Trial 262 finished with value: 0.8148659458300603 and parameters: {'n_estimators': 35, 'learning_rate': 0.06138561117900437, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 10, 'min_samples_leaf': 20}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:01:53,874] Trial 275 finished with value: 0.8178845325896521 and parameters: {'n_estimators': 59, 'learning_rate': 0.046597241379796595, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 63, 'min_samples_leaf': 19}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:03:04,504] Trial 289 finished with value: 0.8148658931116348 and parameters: {'n_estimators': 59, 'learning_rate': 0.04099161541463251, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 63, 'min_samples_leaf': 19}. Best is trial 121 with value: 0.8182618559346011.
