[I 2025-04-07 01:41:33,104] Using an existing study with name 'adaboost' instead of creating a new one.
[I 2025-04-07 01:42:55,339] Trial 12 finished with value: 0.7947006208473256 and parameters: {'n_estimators': 43, 'learning_rate': 5.258814341944699, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 18, 'min_samples_leaf': 10}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:44:14,785] Trial 29 finished with value: 0.8130633622757489 and parameters: {'n_estimators': 61, 'learning_rate': 0.25368886817062936, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 45, 'min_samples_leaf': 15}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:44:52,508] Trial 43 finished with value: 0.8102965235712867 and parameters: {'n_estimators': 53, 'learning_rate': 0.18872854501264383, 'criterion': 'log_loss', 'max_depth': 6, 'min_samples_split': 54, 'min_samples_leaf': 18}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:46:32,900] Trial 59 finished with value: 0.8146561616417222 and parameters: {'n_estimators': 56, 'learning_rate': 0.0218783232385453, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 52, 'min_samples_leaf': 9}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:48:15,614] Trial 76 finished with value: 0.8084096256816053 and parameters: {'n_estimators': 64, 'learning_rate': 0.00441607731463793, 'criterion': 'log_loss', 'max_depth': 16, 'min_samples_split': 40, 'min_samples_leaf': 21}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:49:24,618] Trial 92 finished with value: 0.8135660676096237 and parameters: {'n_estimators': 45, 'learning_rate': 0.029371332452094858, 'criterion': 'gini', 'max_depth': 19, 'min_samples_split': 47, 'min_samples_leaf': 17}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:50:36,806] Trial 98 finished with value: 0.8159141638594105 and parameters: {'n_estimators': 50, 'learning_rate': 0.06855649733158663, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 61, 'min_samples_leaf': 16}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:51:29,171] Trial 117 finished with value: 0.8113443374260404 and parameters: {'n_estimators': 38, 'learning_rate': 0.008570320267940891, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 59, 'min_samples_leaf': 16}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:52:08,839] Trial 136 finished with value: 0.8152012174441756 and parameters: {'n_estimators': 33, 'learning_rate': 0.04199746499691417, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 62, 'min_samples_leaf': 3}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:53:27,996] Trial 150 finished with value: 0.8106737063337673 and parameters: {'n_estimators': 39, 'learning_rate': 0.3137274742946731, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 24, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:54:40,461] Trial 172 finished with value: 0.8165848652429177 and parameters: {'n_estimators': 38, 'learning_rate': 0.06679730517723945, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 60, 'min_samples_leaf': 5}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:55:18,829] Trial 185 finished with value: 0.8153691783481911 and parameters: {'n_estimators': 35, 'learning_rate': 0.03252273999995034, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 13}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:56:22,877] Trial 197 finished with value: 0.8143210306100752 and parameters: {'n_estimators': 60, 'learning_rate': 0.054503170079046405, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 61, 'min_samples_leaf': 8}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:57:18,810] Trial 214 finished with value: 0.8141954728930643 and parameters: {'n_estimators': 37, 'learning_rate': 0.014143559968035279, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 58, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:58:18,150] Trial 228 finished with value: 0.814656354942616 and parameters: {'n_estimators': 40, 'learning_rate': 0.08799960926769208, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 19, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:59:24,629] Trial 243 finished with value: 0.8165848476701092 and parameters: {'n_estimators': 48, 'learning_rate': 0.08143934910333842, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 56, 'min_samples_leaf': 18}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:00:33,104] Trial 259 finished with value: 0.8118470251871065 and parameters: {'n_estimators': 36, 'learning_rate': 0.06337240341554003, 'criterion': 'log_loss', 'max_depth': 26, 'min_samples_split': 10, 'min_samples_leaf': 20}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:01:59,209] Trial 276 finished with value: 0.8170880274698143 and parameters: {'n_estimators': 61, 'learning_rate': 0.04715795850687231, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 63, 'min_samples_leaf': 19}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:03:10,963] Trial 291 finished with value: 0.8142373840414298 and parameters: {'n_estimators': 59, 'learning_rate': 0.03896153870450977, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 63, 'min_samples_leaf': 19}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:04:43,786] Trial 306 finished with value: 0.813691765909103 and parameters: {'n_estimators': 63, 'learning_rate': 0.2105352579377316, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 64, 'min_samples_leaf': 21}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:05:30,778] Trial 323 finished with value: 0.8171297277444773 and parameters: {'n_estimators': 36, 'learning_rate': 0.053176278652954385, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 62, 'min_samples_leaf': 18}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:06:08,544] Trial 333 finished with value: 0.8131891660120795 and parameters: {'n_estimators': 34, 'learning_rate': 0.05299767196928102, 'criterion': 'entropy', 'max_depth': 9, 'min_samples_split': 53, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:06:47,161] Trial 345 finished with value: 0.8129792939596985 and parameters: {'n_estimators': 36, 'learning_rate': 0.05235840888598096, 'criterion': 'log_loss', 'max_depth': 9, 'min_samples_split': 61, 'min_samples_leaf': 29}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:07:30,086] Trial 360 finished with value: 0.8165428662305096 and parameters: {'n_estimators': 32, 'learning_rate': 0.0472434471041185, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 59, 'min_samples_leaf': 25}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:08:25,104] Trial 374 finished with value: 0.8151594820238955 and parameters: {'n_estimators': 38, 'learning_rate': 0.02577847503192754, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 58, 'min_samples_leaf': 27}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:09:08,297] Trial 390 finished with value: 0.8152852154689919 and parameters: {'n_estimators': 35, 'learning_rate': 0.14805192390727093, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 63, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:10:03,672] Trial 405 finished with value: 0.815201235016984 and parameters: {'n_estimators': 33, 'learning_rate': 0.09330533769041263, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 57, 'min_samples_leaf': 14}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:10:56,174] Trial 419 finished with value: 0.8173396349424754 and parameters: {'n_estimators': 37, 'learning_rate': 0.03978557006952084, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 57, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:11:49,653] Trial 434 finished with value: 0.8172557423545103 and parameters: {'n_estimators': 37, 'learning_rate': 0.036385070263079876, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 54, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:12:50,206] Trial 445 finished with value: 0.8118896392478134 and parameters: {'n_estimators': 60, 'learning_rate': 0.02181364938855352, 'criterion': 'log_loss', 'max_depth': 8, 'min_samples_split': 60, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:13:50,004] Trial 458 finished with value: 0.8159138475488568 and parameters: {'n_estimators': 39, 'learning_rate': 0.03344707142920941, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 56, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:15:15,397] Trial 471 finished with value: 0.8173811243434359 and parameters: {'n_estimators': 56, 'learning_rate': 0.028103472483217828, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 58, 'min_samples_leaf': 15}. Best is trial 460 with value: 0.8184711480843003.
[I 2025-04-07 02:16:42,937] Trial 485 finished with value: 0.8145728138108217 and parameters: {'n_estimators': 55, 'learning_rate': 0.011045455879361893, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 53, 'min_samples_leaf': 16}. Best is trial 460 with value: 0.8184711480843003.
[I 2025-04-07 02:18:17,174] Trial 500 finished with value: 0.8155364539126737 and parameters: {'n_estimators': 58, 'learning_rate': 0.03450755320853905, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 55, 'min_samples_leaf': 14}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:19:55,854] Trial 516 finished with value: 0.8169198205464792 and parameters: {'n_estimators': 59, 'learning_rate': 0.028066410892924613, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 56, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:21:27,585] Trial 532 finished with value: 0.8166266885272405 and parameters: {'n_estimators': 57, 'learning_rate': 0.023037525326335982, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 52, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:22:42,552] Trial 548 finished with value: 0.81465642523385 and parameters: {'n_estimators': 61, 'learning_rate': 0.04526989991336428, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 50, 'min_samples_leaf': 18}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:23:57,453] Trial 564 finished with value: 0.8168782257086674 and parameters: {'n_estimators': 57, 'learning_rate': 0.038462099668741465, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 54, 'min_samples_leaf': 24}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:24:33,446] Trial 579 finished with value: 0.8162072607330322 and parameters: {'n_estimators': 24, 'learning_rate': 0.03302106396577769, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 59, 'min_samples_leaf': 15}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:26:08,402] Trial 586 finished with value: 0.8050976784562639 and parameters: {'n_estimators': 64, 'learning_rate': 0.000661978358399873, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 58, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
