[I 2025-04-07 01:41:33,237] Using an existing study with name 'adaboost' instead of creating a new one.
[I 2025-04-07 01:42:04,275] Trial 10 finished with value: 0.7511006552900305 and parameters: {'n_estimators': 15, 'learning_rate': 3.7942565820810574, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 18, 'min_samples_leaf': 16}. Best is trial 3 with value: 0.8031279072015126.
[I 2025-04-07 01:43:43,440] Trial 16 finished with value: 0.7901305483946361 and parameters: {'n_estimators': 64, 'learning_rate': 1.0224773480141056, 'criterion': 'entropy', 'max_depth': 13, 'min_samples_split': 9, 'min_samples_leaf': 27}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:44:42,855] Trial 38 finished with value: 0.8141534563078474 and parameters: {'n_estimators': 51, 'learning_rate': 0.11931278724439819, 'criterion': 'log_loss', 'max_depth': 9, 'min_samples_split': 62, 'min_samples_leaf': 6}. Best is trial 32 with value: 0.8155366999319933.
[I 2025-04-07 01:46:15,886] Trial 54 finished with value: 0.8158720418373425 and parameters: {'n_estimators': 57, 'learning_rate': 0.019664990174631487, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 52, 'min_samples_leaf': 19}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:47:58,421] Trial 71 finished with value: 0.8108832445027861 and parameters: {'n_estimators': 64, 'learning_rate': 0.0052767658418023545, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 40, 'min_samples_leaf': 25}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:49:16,383] Trial 86 finished with value: 0.8160394579842934 and parameters: {'n_estimators': 45, 'learning_rate': 0.049923973510647195, 'criterion': 'entropy', 'max_depth': 19, 'min_samples_split': 57, 'min_samples_leaf': 21}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:50:23,430] Trial 97 finished with value: 0.8137338527855537 and parameters: {'n_estimators': 43, 'learning_rate': 0.06769517503603023, 'criterion': 'gini', 'max_depth': 19, 'min_samples_split': 60, 'min_samples_leaf': 17}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:51:31,069] Trial 112 finished with value: 0.8121406843906014 and parameters: {'n_estimators': 41, 'learning_rate': 0.026244126090918782, 'criterion': 'gini', 'max_depth': 32, 'min_samples_split': 44, 'min_samples_leaf': 14}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:52:10,404] Trial 137 finished with value: 0.8153270738989317 and parameters: {'n_estimators': 33, 'learning_rate': 0.04099435284321009, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 62, 'min_samples_leaf': 3}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:52:51,917] Trial 152 finished with value: 0.8131467803978835 and parameters: {'n_estimators': 27, 'learning_rate': 0.04410363417669554, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 22, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:54:20,661] Trial 163 finished with value: 0.80354638606406 and parameters: {'n_estimators': 39, 'learning_rate': 0.0008408887873921621, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 64, 'min_samples_leaf': 6}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:55:15,204] Trial 178 finished with value: 0.8158724284391304 and parameters: {'n_estimators': 42, 'learning_rate': 0.07332863136461704, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 60, 'min_samples_leaf': 13}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:56:05,105] Trial 195 finished with value: 0.8150336958603734 and parameters: {'n_estimators': 44, 'learning_rate': 0.12419546731303735, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 61, 'min_samples_leaf': 9}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:56:54,387] Trial 210 finished with value: 0.8152010768617073 and parameters: {'n_estimators': 37, 'learning_rate': 0.05543537013653506, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 35, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:57:46,446] Trial 223 finished with value: 0.8161656131767947 and parameters: {'n_estimators': 36, 'learning_rate': 0.08469358635342343, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 58, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:58:47,133] Trial 235 finished with value: 0.8162075067523518 and parameters: {'n_estimators': 46, 'learning_rate': 0.0972622722016261, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 18, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:00:08,590] Trial 248 finished with value: 0.8162075243251602 and parameters: {'n_estimators': 61, 'learning_rate': 0.10230606214729977, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 63, 'min_samples_leaf': 18}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:00:57,805] Trial 269 finished with value: 0.8149077339687661 and parameters: {'n_estimators': 35, 'learning_rate': 0.06110900105185791, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 9, 'min_samples_leaf': 20}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:02:26,557] Trial 280 finished with value: 0.8167104756783543 and parameters: {'n_estimators': 61, 'learning_rate': 0.044556971289547574, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 63, 'min_samples_leaf': 19}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:03:38,016] Trial 297 finished with value: 0.8149917671391995 and parameters: {'n_estimators': 58, 'learning_rate': 0.036844039945894365, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 63, 'min_samples_leaf': 22}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:05:10,976] Trial 314 finished with value: 0.8125598485926815 and parameters: {'n_estimators': 51, 'learning_rate': 0.051143487579058504, 'criterion': 'log_loss', 'max_depth': 23, 'min_samples_split': 62, 'min_samples_leaf': 20}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:05:59,068] Trial 328 finished with value: 0.8176329602626081 and parameters: {'n_estimators': 34, 'learning_rate': 0.05113078288946328, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 61, 'min_samples_leaf': 18}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:06:37,415] Trial 341 finished with value: 0.8133149697484102 and parameters: {'n_estimators': 34, 'learning_rate': 0.052102187585963404, 'criterion': 'entropy', 'max_depth': 9, 'min_samples_split': 61, 'min_samples_leaf': 28}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:07:23,906] Trial 354 finished with value: 0.8159559871437333 and parameters: {'n_estimators': 36, 'learning_rate': 0.051410173316734156, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 60, 'min_samples_leaf': 29}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:08:05,356] Trial 368 finished with value: 0.816962135869441 and parameters: {'n_estimators': 32, 'learning_rate': 0.031244833802634805, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 59, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:09:01,363] Trial 381 finished with value: 0.8170461514670659 and parameters: {'n_estimators': 38, 'learning_rate': 0.06895433522173365, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 64, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:09:43,688] Trial 398 finished with value: 0.8150756597271647 and parameters: {'n_estimators': 35, 'learning_rate': 0.07910869477090904, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 62, 'min_samples_leaf': 30}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:10:38,112] Trial 413 finished with value: 0.8155365769223334 and parameters: {'n_estimators': 33, 'learning_rate': 0.041273667934440074, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 57, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:11:30,046] Trial 429 finished with value: 0.8137756409242595 and parameters: {'n_estimators': 30, 'learning_rate': 0.019338839822329406, 'criterion': 'log_loss', 'max_depth': 21, 'min_samples_split': 54, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:12:21,807] Trial 442 finished with value: 0.8089132272287154 and parameters: {'n_estimators': 60, 'learning_rate': 0.023403358905468623, 'criterion': 'log_loss', 'max_depth': 7, 'min_samples_split': 60, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:13:40,462] Trial 455 finished with value: 0.8175910491142426 and parameters: {'n_estimators': 56, 'learning_rate': 0.03278765743173748, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 56, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:15:00,361] Trial 468 finished with value: 0.8170876408680264 and parameters: {'n_estimators': 52, 'learning_rate': 0.024442996574050885, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 58, 'min_samples_leaf': 15}. Best is trial 460 with value: 0.8184711480843003.
[I 2025-04-07 02:16:18,894] Trial 482 finished with value: 0.8172132864490802 and parameters: {'n_estimators': 55, 'learning_rate': 0.018919604744949907, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 54, 'min_samples_leaf': 13}. Best is trial 460 with value: 0.8184711480843003.
[I 2025-04-07 02:17:44,854] Trial 495 finished with value: 0.8182197163397247 and parameters: {'n_estimators': 58, 'learning_rate': 0.031161241720988938, 'criterion': 'entropy', 'max_depth': 12, 'min_samples_split': 55, 'min_samples_leaf': 14}. Best is trial 460 with value: 0.8184711480843003.
[I 2025-04-07 02:19:11,756] Trial 509 finished with value: 0.8172555139079993 and parameters: {'n_estimators': 58, 'learning_rate': 0.03336331120814968, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 56, 'min_samples_leaf': 14}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:20:49,413] Trial 526 finished with value: 0.8163752216370476 and parameters: {'n_estimators': 59, 'learning_rate': 0.025076980412055548, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 57, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:22:03,804] Trial 541 finished with value: 0.8160398445860814 and parameters: {'n_estimators': 62, 'learning_rate': 0.018913461537002355, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 50, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:23:28,092] Trial 556 finished with value: 0.8167524395451453 and parameters: {'n_estimators': 60, 'learning_rate': 0.043691584809072315, 'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 54, 'min_samples_leaf': 18}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:23:46,292] Trial 572 finished with value: 0.8107994924972894 and parameters: {'n_estimators': 13, 'learning_rate': 0.03575402441006265, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 59, 'min_samples_leaf': 28}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:25:14,053] Trial 576 finished with value: 0.8165009199365271 and parameters: {'n_estimators': 57, 'learning_rate': 0.03533833021517994, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 58, 'min_samples_leaf': 15}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:26:48,905] Trial 593 finished with value: 0.8101707549805732 and parameters: {'n_estimators': 63, 'learning_rate': 0.0030017240957977156, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 61, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:27:59,580] Trial 609 finished with value: 0.8159559871437333 and parameters: {'n_estimators': 50, 'learning_rate': 0.05272916947719371, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 61, 'min_samples_leaf': 19}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:29:27,725] Trial 622 finished with value: 0.8162072958786493 and parameters: {'n_estimators': 62, 'learning_rate': 0.02689181189849946, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 56, 'min_samples_leaf': 19}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:30:44,452] Trial 637 finished with value: 0.8162493827551 and parameters: {'n_estimators': 58, 'learning_rate': 0.043258126956937745, 'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 41, 'min_samples_leaf': 14}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:31:56,533] Trial 648 finished with value: 0.8061879482164478 and parameters: {'n_estimators': 56, 'learning_rate': 0.00012716791507228942, 'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 59, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:32:47,891] Trial 662 finished with value: 0.8152430055828812 and parameters: {'n_estimators': 36, 'learning_rate': 0.0705538623520917, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 59, 'min_samples_leaf': 11}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:33:56,239] Trial 675 finished with value: 0.8144887454947712 and parameters: {'n_estimators': 55, 'learning_rate': 0.10345641043211551, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 55, 'min_samples_leaf': 15}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:34:53,833] Trial 690 finished with value: 0.8115962436364468 and parameters: {'n_estimators': 55, 'learning_rate': 0.03521192530698717, 'criterion': 'log_loss', 'max_depth': 8, 'min_samples_split': 53, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:35:51,623] Trial 704 finished with value: 0.8161654901671349 and parameters: {'n_estimators': 37, 'learning_rate': 0.03515616942375863, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 57, 'min_samples_leaf': 13}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:37:10,160] Trial 717 finished with value: 0.8175910666870511 and parameters: {'n_estimators': 51, 'learning_rate': 0.024235170863586685, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 59, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:38:38,820] Trial 732 finished with value: 0.8167944737031705 and parameters: {'n_estimators': 53, 'learning_rate': 0.027229339783788768, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 58, 'min_samples_leaf': 15}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:40:14,073] Trial 748 finished with value: 0.8152430583013069 and parameters: {'n_estimators': 54, 'learning_rate': 0.016480875642572383, 'criterion': 'log_loss', 'max_depth': 16, 'min_samples_split': 60, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:41:30,220] Trial 763 finished with value: 0.8139858995784284 and parameters: {'n_estimators': 49, 'learning_rate': 0.00982533666697509, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 55, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:42:49,762] Trial 778 finished with value: 0.8165431473954461 and parameters: {'n_estimators': 56, 'learning_rate': 0.030730104133513847, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 57, 'min_samples_leaf': 32}. Best is trial 496 with value: 0.8187649127246465.
訓練集準確率: 0.8659288139856621
測試集準確率: 0.8076794097920859
10-fold CV 準確率:  0.8187649127246465

