[I 2025-04-07 01:41:33,177] Using an existing study with name 'adaboost' instead of creating a new one.
[I 2025-04-07 02:03:15,161] Trial 294 finished with value: 0.8146982836637899 and parameters: {'n_estimators': 58, 'learning_rate': 0.04130866253127409, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 64, 'min_samples_leaf': 22}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:04:53,238] Trial 309 finished with value: 0.8149497505539829 and parameters: {'n_estimators': 63, 'learning_rate': 0.11188492565275152, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 62, 'min_samples_leaf': 20}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:05:45,514] Trial 324 finished with value: 0.818010213316323 and parameters: {'n_estimators': 36, 'learning_rate': 0.04956010805913452, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 62, 'min_samples_leaf': 18}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:06:33,226] Trial 335 finished with value: 0.8161656131767948 and parameters: {'n_estimators': 36, 'learning_rate': 0.07318092232049206, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 61, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:07:22,168] Trial 352 finished with value: 0.8170460108845976 and parameters: {'n_estimators': 36, 'learning_rate': 0.04673811038229253, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 59, 'min_samples_leaf': 27}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:08:10,134] Trial 367 finished with value: 0.8166686875396486 and parameters: {'n_estimators': 38, 'learning_rate': 0.026666044860542314, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 59, 'min_samples_leaf': 27}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:09:01,972] Trial 385 finished with value: 0.8159977225640134 and parameters: {'n_estimators': 38, 'learning_rate': 0.07705821744587453, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 64, 'min_samples_leaf': 23}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:09:45,096] Trial 400 finished with value: 0.8147403881130495 and parameters: {'n_estimators': 35, 'learning_rate': 0.08091026188492964, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 62, 'min_samples_leaf': 14}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:10:31,546] Trial 415 finished with value: 0.8175491906843029 and parameters: {'n_estimators': 33, 'learning_rate': 0.04098259680593502, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 57, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:11:13,331] Trial 427 finished with value: 0.8165427607936584 and parameters: {'n_estimators': 30, 'learning_rate': 0.039664190340552366, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 55, 'min_samples_leaf': 31}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:12:33,935] Trial 436 finished with value: 0.8165849003885348 and parameters: {'n_estimators': 60, 'learning_rate': 0.01942155144722738, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 60, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:14:41,083] Trial 456 finished with value: 0.8123503104236628 and parameters: {'n_estimators': 64, 'learning_rate': 0.05948510655621552, 'criterion': 'log_loss', 'max_depth': 24, 'min_samples_split': 56, 'min_samples_leaf': 15}. Best is trial 460 with value: 0.8184711480843003.
[I 2025-04-07 02:16:19,723] Trial 477 finished with value: 0.8133565294406047 and parameters: {'n_estimators': 54, 'learning_rate': 0.014822833811205168, 'criterion': 'log_loss', 'max_depth': 31, 'min_samples_split': 53, 'min_samples_leaf': 18}. Best is trial 460 with value: 0.8184711480843003.
[I 2025-04-07 02:17:52,929] Trial 496 finished with value: 0.8187649127246465 and parameters: {'n_estimators': 58, 'learning_rate': 0.03213347717758001, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 55, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:19:27,143] Trial 511 finished with value: 0.8169620128597812 and parameters: {'n_estimators': 59, 'learning_rate': 0.03187109262797776, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 56, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:21:06,659] Trial 529 finished with value: 0.8170038537169126 and parameters: {'n_estimators': 59, 'learning_rate': 0.02494972196831354, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 60, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:22:28,721] Trial 544 finished with value: 0.8152434976215204 and parameters: {'n_estimators': 60, 'learning_rate': 0.04642323015310525, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 50, 'min_samples_leaf': 18}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:23:52,854] Trial 561 finished with value: 0.8175909788230085 and parameters: {'n_estimators': 57, 'learning_rate': 0.03849747457803704, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 54, 'min_samples_leaf': 12}. Best is trial 496 with value: 0.8187649127246465.
