[I 2025-04-07 01:41:33,484] Using an existing study with name 'adaboost' instead of creating a new one.
[I 2025-04-07 02:05:26,375] Trial 316 finished with value: 0.8054330555072303 and parameters: {'n_estimators': 62, 'learning_rate': 0.00023815871041154137, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 62, 'min_samples_leaf': 20}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:06:13,898] Trial 332 finished with value: 0.8175912599879451 and parameters: {'n_estimators': 34, 'learning_rate': 0.07210304909892985, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 61, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:06:54,795] Trial 348 finished with value: 0.8126021814884521 and parameters: {'n_estimators': 36, 'learning_rate': 0.05589916797933757, 'criterion': 'log_loss', 'max_depth': 9, 'min_samples_split': 61, 'min_samples_leaf': 28}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:07:34,752] Trial 363 finished with value: 0.8159560574349675 and parameters: {'n_estimators': 31, 'learning_rate': 0.03116649927380775, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 59, 'min_samples_leaf': 27}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:08:25,995] Trial 376 finished with value: 0.8155365769223334 and parameters: {'n_estimators': 37, 'learning_rate': 0.027204207005767412, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 64, 'min_samples_leaf': 27}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:09:37,454] Trial 391 finished with value: 0.8153689323288716 and parameters: {'n_estimators': 61, 'learning_rate': 0.15974606128551827, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 63, 'min_samples_leaf': 23}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:10:29,262] Trial 409 finished with value: 0.8151594995967042 and parameters: {'n_estimators': 33, 'learning_rate': 0.04031897274910094, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 62, 'min_samples_leaf': 30}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:11:23,228] Trial 424 finished with value: 0.8174232287926955 and parameters: {'n_estimators': 37, 'learning_rate': 0.04094660413554124, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 60, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:12:48,035] Trial 441 finished with value: 0.8170458703021293 and parameters: {'n_estimators': 60, 'learning_rate': 0.020367098776891024, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 60, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:14:14,899] Trial 457 finished with value: 0.8079480582925205 and parameters: {'n_estimators': 58, 'learning_rate': 0.43742738334567255, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 56, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:15:45,068] Trial 472 finished with value: 0.8167945264215962 and parameters: {'n_estimators': 56, 'learning_rate': 0.026298597887096112, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 55, 'min_samples_leaf': 15}. Best is trial 460 with value: 0.8184711480843003.
[I 2025-04-07 02:17:01,279] Trial 487 finished with value: 0.8141531399972939 and parameters: {'n_estimators': 55, 'learning_rate': 0.011990247837591929, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 53, 'min_samples_leaf': 13}. Best is trial 460 with value: 0.8184711480843003.
[I 2025-04-07 02:18:38,938] Trial 502 finished with value: 0.7868177401016763 and parameters: {'n_estimators': 58, 'learning_rate': 3.928293940852769, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 55, 'min_samples_leaf': 14}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:20:05,434] Trial 519 finished with value: 0.8176326966704799 and parameters: {'n_estimators': 59, 'learning_rate': 0.024281027727173696, 'criterion': 'entropy', 'max_depth': 12, 'min_samples_split': 52, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:21:43,259] Trial 534 finished with value: 0.8167524219723369 and parameters: {'n_estimators': 61, 'learning_rate': 0.02074862936774553, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 52, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:22:18,798] Trial 552 finished with value: 0.8165428662305096 and parameters: {'n_estimators': 26, 'learning_rate': 0.0460397982707245, 'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 50, 'min_samples_leaf': 18}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:23:38,838] Trial 559 finished with value: 0.8167943682663192 and parameters: {'n_estimators': 60, 'learning_rate': 0.04328049983209841, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 54, 'min_samples_leaf': 18}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:25:02,098] Trial 574 finished with value: 0.8168783311455187 and parameters: {'n_estimators': 57, 'learning_rate': 0.03521311079744189, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 58, 'min_samples_leaf': 15}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:26:36,210] Trial 591 finished with value: 0.8166266709544321 and parameters: {'n_estimators': 59, 'learning_rate': 0.05786163796173004, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 56, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:27:46,197] Trial 606 finished with value: 0.8162073661698834 and parameters: {'n_estimators': 49, 'learning_rate': 0.054127995093554586, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 61, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:29:12,511] Trial 619 finished with value: 0.8164589033513103 and parameters: {'n_estimators': 62, 'learning_rate': 0.02762313044345857, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 56, 'min_samples_leaf': 19}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:30:38,830] Trial 632 finished with value: 0.8162911006025716 and parameters: {'n_estimators': 62, 'learning_rate': 0.026379240541027495, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 57, 'min_samples_leaf': 14}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:31:58,301] Trial 647 finished with value: 0.814614391075825 and parameters: {'n_estimators': 59, 'learning_rate': 0.04430501284960109, 'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 58, 'min_samples_leaf': 28}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:32:51,444] Trial 663 finished with value: 0.8168782959999017 and parameters: {'n_estimators': 36, 'learning_rate': 0.0717044991099722, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 59, 'min_samples_leaf': 15}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:33:56,847] Trial 677 finished with value: 0.8146145492311018 and parameters: {'n_estimators': 53, 'learning_rate': 0.020826557661144086, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 55, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:35:21,039] Trial 691 finished with value: 0.8168781026990077 and parameters: {'n_estimators': 55, 'learning_rate': 0.03543105385216459, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 57, 'min_samples_leaf': 18}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:36:38,938] Trial 707 finished with value: 0.8172974426291735 and parameters: {'n_estimators': 51, 'learning_rate': 0.03484747659677728, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 57, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:38:04,784] Trial 724 finished with value: 0.8167525449819968 and parameters: {'n_estimators': 52, 'learning_rate': 0.024851086858428337, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 56, 'min_samples_leaf': 15}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:39:29,512] Trial 739 finished with value: 0.7828365324631279 and parameters: {'n_estimators': 50, 'learning_rate': 1.317099017824176, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 25, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:40:59,227] Trial 755 finished with value: 0.815578558361933 and parameters: {'n_estimators': 54, 'learning_rate': 0.015492706923713264, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 60, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:42:14,346] Trial 771 finished with value: 0.8181360170526535 and parameters: {'n_estimators': 50, 'learning_rate': 0.031204175383280405, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 55, 'min_samples_leaf': 32}. Best is trial 496 with value: 0.8187649127246465.
訓練集準確率: 0.8659288139856621
測試集準確率: 0.8076794097920859
10-fold CV 準確率:  0.8187649127246465

