[I 2025-04-07 01:41:32,985] Using an existing study with name 'adaboost' instead of creating a new one.
[I 2025-04-07 01:42:16,469] Trial 1 finished with value: 0.7978447477511199 and parameters: {'n_estimators': 25, 'learning_rate': 0.6212113245547888, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 35, 'min_samples_leaf': 23}. Best is trial 14 with value: 0.8119725477585005.
[I 2025-04-07 01:43:29,908] Trial 19 finished with value: 0.8038404142965341 and parameters: {'n_estimators': 45, 'learning_rate': 0.0002583835546148103, 'criterion': 'log_loss', 'max_depth': 29, 'min_samples_split': 14, 'min_samples_leaf': 30}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:44:45,853] Trial 35 finished with value: 0.8151589548396394 and parameters: {'n_estimators': 56, 'learning_rate': 0.15242771254050422, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 64, 'min_samples_leaf': 13}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:46:20,785] Trial 56 finished with value: 0.8147400015112615 and parameters: {'n_estimators': 57, 'learning_rate': 0.014230199050433849, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 53, 'min_samples_leaf': 18}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:47:40,515] Trial 73 finished with value: 0.8090383456255129 and parameters: {'n_estimators': 49, 'learning_rate': 0.004837936879464359, 'criterion': 'entropy', 'max_depth': 17, 'min_samples_split': 33, 'min_samples_leaf': 24}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:49:33,412] Trial 82 finished with value: 0.8132306729858486 and parameters: {'n_estimators': 62, 'learning_rate': 0.05147802453772271, 'criterion': 'entropy', 'max_depth': 21, 'min_samples_split': 47, 'min_samples_leaf': 21}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:50:40,987] Trial 103 finished with value: 0.812811139754789 and parameters: {'n_estimators': 41, 'learning_rate': 0.03142792699634421, 'criterion': 'gini', 'max_depth': 32, 'min_samples_split': 58, 'min_samples_leaf': 16}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:51:32,166] Trial 119 finished with value: 0.8154948063564362 and parameters: {'n_estimators': 36, 'learning_rate': 0.09744822404623701, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 59, 'min_samples_leaf': 14}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:52:11,760] Trial 138 finished with value: 0.81599800372895 and parameters: {'n_estimators': 33, 'learning_rate': 0.048542698846941304, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 62, 'min_samples_leaf': 4}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:53:01,514] Trial 153 finished with value: 0.8105477971605856 and parameters: {'n_estimators': 29, 'learning_rate': 0.33383770219977354, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 64, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:54:25,638] Trial 167 finished with value: 0.8158303942811053 and parameters: {'n_estimators': 39, 'learning_rate': 0.06913453564581128, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 57, 'min_samples_leaf': 6}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:55:13,203] Trial 181 finished with value: 0.8164172030766474 and parameters: {'n_estimators': 42, 'learning_rate': 0.03136515803993522, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 13}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:55:53,891] Trial 194 finished with value: 0.8139020069904632 and parameters: {'n_estimators': 44, 'learning_rate': 0.13077877567714166, 'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 61, 'min_samples_leaf': 13}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:56:57,036] Trial 205 finished with value: 0.8143629066128236 and parameters: {'n_estimators': 44, 'learning_rate': 0.06027091850155838, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 54, 'min_samples_leaf': 4}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:57:54,802] Trial 224 finished with value: 0.8166264952263467 and parameters: {'n_estimators': 40, 'learning_rate': 0.09177496054857813, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 58, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:59:03,727] Trial 238 finished with value: 0.8157460799457352 and parameters: {'n_estimators': 47, 'learning_rate': 0.08676786414062908, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 56, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:59:52,702] Trial 256 finished with value: 0.8160817205888297 and parameters: {'n_estimators': 36, 'learning_rate': 0.06316650121859708, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 7, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:01:15,648] Trial 267 finished with value: 0.8165427080752327 and parameters: {'n_estimators': 61, 'learning_rate': 0.0589219513823179, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 62, 'min_samples_leaf': 20}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:02:38,574] Trial 284 finished with value: 0.8162074716067347 and parameters: {'n_estimators': 58, 'learning_rate': 0.04418513273331296, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 63, 'min_samples_leaf': 19}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:03:47,091] Trial 299 finished with value: 0.8133148291659419 and parameters: {'n_estimators': 55, 'learning_rate': 0.03909907588781679, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 64, 'min_samples_leaf': 21}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:05:22,242] Trial 315 finished with value: 0.814740212384964 and parameters: {'n_estimators': 63, 'learning_rate': 0.10945178248966711, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 62, 'min_samples_leaf': 20}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:06:09,797] Trial 331 finished with value: 0.8056429627052284 and parameters: {'n_estimators': 34, 'learning_rate': 0.00028226685213360113, 'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 61, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:06:52,328] Trial 346 finished with value: 0.8134407031935064 and parameters: {'n_estimators': 36, 'learning_rate': 0.054851652523631014, 'criterion': 'log_loss', 'max_depth': 9, 'min_samples_split': 59, 'min_samples_leaf': 29}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:07:41,827] Trial 361 finished with value: 0.8161654023030923 and parameters: {'n_estimators': 37, 'learning_rate': 0.04900141418619531, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 59, 'min_samples_leaf': 26}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:08:36,434] Trial 377 finished with value: 0.8157462205282033 and parameters: {'n_estimators': 38, 'learning_rate': 0.15061312699978163, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 64, 'min_samples_leaf': 27}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:09:18,408] Trial 392 finished with value: 0.8150340297437356 and parameters: {'n_estimators': 35, 'learning_rate': 0.07487994091224019, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 63, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:10:11,103] Trial 406 finished with value: 0.815829867096849 and parameters: {'n_estimators': 33, 'learning_rate': 0.09148762810125954, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 57, 'min_samples_leaf': 14}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:11:18,970] Trial 421 finished with value: 0.8147398785016018 and parameters: {'n_estimators': 37, 'learning_rate': 0.03798001659361631, 'criterion': 'log_loss', 'max_depth': 21, 'min_samples_split': 57, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:12:17,478] Trial 439 finished with value: 0.8165429189489352 and parameters: {'n_estimators': 39, 'learning_rate': 0.05899606762485722, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 60, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:13:47,904] Trial 454 finished with value: 0.8165849003885348 and parameters: {'n_estimators': 60, 'learning_rate': 0.03283401243050572, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 56, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:15:20,551] Trial 470 finished with value: 0.8175908909589659 and parameters: {'n_estimators': 56, 'learning_rate': 0.025474003519635555, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 55, 'min_samples_leaf': 15}. Best is trial 460 with value: 0.8184711480843003.
[I 2025-04-07 02:16:49,935] Trial 486 finished with value: 0.8167943858391279 and parameters: {'n_estimators': 54, 'learning_rate': 0.03082519275323646, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 51, 'min_samples_leaf': 13}. Best is trial 460 with value: 0.8184711480843003.
[I 2025-04-07 02:18:32,320] Trial 501 finished with value: 0.8155365417767164 and parameters: {'n_estimators': 58, 'learning_rate': 0.030488188450182484, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 55, 'min_samples_leaf': 14}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:20:12,517] Trial 518 finished with value: 0.8158721121285767 and parameters: {'n_estimators': 59, 'learning_rate': 0.024385911739147184, 'criterion': 'entropy', 'max_depth': 16, 'min_samples_split': 57, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:21:50,945] Trial 536 finished with value: 0.8172554436167652 and parameters: {'n_estimators': 61, 'learning_rate': 0.01939982755489963, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 51, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:23:15,385] Trial 553 finished with value: 0.8150761166201865 and parameters: {'n_estimators': 62, 'learning_rate': 0.007300572196082727, 'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 54, 'min_samples_leaf': 18}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:24:34,641] Trial 568 finished with value: 0.8172557599273189 and parameters: {'n_estimators': 57, 'learning_rate': 0.036626477624041566, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 46, 'min_samples_leaf': 29}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:25:55,860] Trial 587 finished with value: 0.816962135869441 and parameters: {'n_estimators': 58, 'learning_rate': 0.06301169727359106, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 58, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:27:14,694] Trial 598 finished with value: 0.8143210833285007 and parameters: {'n_estimators': 51, 'learning_rate': 0.05866320733529902, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 61, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:28:41,843] Trial 611 finished with value: 0.8163333807799165 and parameters: {'n_estimators': 60, 'learning_rate': 0.048897186138713654, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 60, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:30:11,786] Trial 626 finished with value: 0.8152013580266437 and parameters: {'n_estimators': 62, 'learning_rate': 0.02739934720101194, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 16, 'min_samples_leaf': 26}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:31:29,438] Trial 643 finished with value: 0.8170041348818492 and parameters: {'n_estimators': 58, 'learning_rate': 0.04676839231964178, 'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 58, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:32:20,316] Trial 657 finished with value: 0.8164170800669875 and parameters: {'n_estimators': 36, 'learning_rate': 0.07467200406151057, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 59, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:33:17,518] Trial 667 finished with value: 0.8171714455919489 and parameters: {'n_estimators': 39, 'learning_rate': 0.07379865765257541, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 55, 'min_samples_leaf': 15}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:34:20,749] Trial 683 finished with value: 0.8154529479264964 and parameters: {'n_estimators': 53, 'learning_rate': 0.10395511031884411, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 53, 'min_samples_leaf': 18}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:35:36,840] Trial 700 finished with value: 0.8167524219723369 and parameters: {'n_estimators': 48, 'learning_rate': 0.03379526438048242, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 57, 'min_samples_leaf': 13}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:36:56,853] Trial 714 finished with value: 0.8160396161395702 and parameters: {'n_estimators': 51, 'learning_rate': 0.05380584709567939, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 58, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:38:23,204] Trial 729 finished with value: 0.8167522989626772 and parameters: {'n_estimators': 52, 'learning_rate': 0.02335646356951068, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 58, 'min_samples_leaf': 15}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:39:46,388] Trial 744 finished with value: 0.8168781729902419 and parameters: {'n_estimators': 49, 'learning_rate': 0.02092502238221956, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 60, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:41:10,938] Trial 759 finished with value: 0.8154111773605992 and parameters: {'n_estimators': 54, 'learning_rate': 0.01659769816621947, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 55, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:42:34,800] Trial 774 finished with value: 0.8153690904841484 and parameters: {'n_estimators': 56, 'learning_rate': 0.009906389387933014, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 57, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
訓練集準確率: 0.8659288139856621
測試集準確率: 0.8076794097920859
10-fold CV 準確率:  0.8187649127246465

