[I 2025-04-07 01:41:33,278] Using an existing study with name 'adaboost' instead of creating a new one.
[I 2025-04-07 01:42:31,728] Trial 13 finished with value: 0.8131890957208455 and parameters: {'n_estimators': 54, 'learning_rate': 0.2649228598838405, 'criterion': 'log_loss', 'max_depth': 8, 'min_samples_split': 59, 'min_samples_leaf': 31}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:42:56,968] Trial 23 finished with value: 0.8119314801049449 and parameters: {'n_estimators': 15, 'learning_rate': 0.037932069335496414, 'criterion': 'entropy', 'max_depth': 23, 'min_samples_split': 37, 'min_samples_leaf': 29}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:44:16,025] Trial 30 finished with value: 0.815117377574636 and parameters: {'n_estimators': 59, 'learning_rate': 0.2203834163543407, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 64, 'min_samples_leaf': 15}. Best is trial 30 with value: 0.815117377574636.
[I 2025-04-07 01:44:48,822] Trial 44 finished with value: 0.8024986952189661 and parameters: {'n_estimators': 52, 'learning_rate': 0.13080477793786824, 'criterion': 'log_loss', 'max_depth': 5, 'min_samples_split': 63, 'min_samples_leaf': 19}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:46:04,641] Trial 57 finished with value: 0.8142790491704754 and parameters: {'n_estimators': 48, 'learning_rate': 0.01419219043537032, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 53, 'min_samples_leaf': 18}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:47:50,037] Trial 67 finished with value: 0.8032109914402851 and parameters: {'n_estimators': 57, 'learning_rate': 0.5857536501041942, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 49, 'min_samples_leaf': 2}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:49:52,361] Trial 83 finished with value: 0.8134399124171223 and parameters: {'n_estimators': 63, 'learning_rate': 0.060757315362612044, 'criterion': 'entropy', 'max_depth': 18, 'min_samples_split': 42, 'min_samples_leaf': 21}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:50:46,914] Trial 107 finished with value: 0.8161655604583691 and parameters: {'n_estimators': 39, 'learning_rate': 0.02716513617913498, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 60, 'min_samples_leaf': 5}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:51:33,459] Trial 121 finished with value: 0.8182618559346011 and parameters: {'n_estimators': 37, 'learning_rate': 0.0451756564743291, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 58, 'min_samples_leaf': 14}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:52:15,304] Trial 139 finished with value: 0.8156206979568097 and parameters: {'n_estimators': 33, 'learning_rate': 0.042910398639302016, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 62, 'min_samples_leaf': 3}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:53:00,184] Trial 155 finished with value: 0.8117636246377804 and parameters: {'n_estimators': 24, 'learning_rate': 0.30280490340185817, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 22, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:54:26,377] Trial 166 finished with value: 0.8159975292631195 and parameters: {'n_estimators': 42, 'learning_rate': 0.18566651866336223, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 64, 'min_samples_leaf': 5}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:55:31,642] Trial 182 finished with value: 0.8151593941598527 and parameters: {'n_estimators': 60, 'learning_rate': 0.06700953857628172, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 13}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:56:32,052] Trial 200 finished with value: 0.8152850748865236 and parameters: {'n_estimators': 44, 'learning_rate': 0.13390777531232967, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 61, 'min_samples_leaf': 9}. Best is trial 121 with value: 0.8182618559346011.
