[I 2025-04-07 01:41:33,082] Using an existing study with name 'adaboost' instead of creating a new one.
[I 2025-04-07 01:41:42,636] Trial 3 finished with value: 0.8031279072015126 and parameters: {'n_estimators': 10, 'learning_rate': 0.0015356703778242181, 'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 49, 'min_samples_leaf': 1}. Best is trial 3 with value: 0.8031279072015126.
[I 2025-04-07 01:42:14,016] Trial 15 finished with value: 0.7982639822444343 and parameters: {'n_estimators': 18, 'learning_rate': 0.3852837279476342, 'criterion': 'gini', 'max_depth': 27, 'min_samples_split': 22, 'min_samples_leaf': 21}. Best is trial 14 with value: 0.8119725477585005.
[I 2025-04-07 01:42:30,110] Trial 18 finished with value: 0.8139437248379349 and parameters: {'n_estimators': 14, 'learning_rate': 0.09719920148163257, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 63, 'min_samples_leaf': 15}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:43:21,233] Trial 22 finished with value: 0.7683731269582698 and parameters: {'n_estimators': 31, 'learning_rate': 7.239719516068761, 'criterion': 'log_loss', 'max_depth': 18, 'min_samples_split': 16, 'min_samples_leaf': 30}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:44:38,622] Trial 33 finished with value: 0.8149497856996 and parameters: {'n_estimators': 56, 'learning_rate': 0.2191308982755773, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 45, 'min_samples_leaf': 15}. Best is trial 32 with value: 0.8155366999319933.
[I 2025-04-07 01:45:56,804] Trial 51 finished with value: 0.8151590778492992 and parameters: {'n_estimators': 50, 'learning_rate': 0.01621319523052675, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 53, 'min_samples_leaf': 19}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:47:15,974] Trial 65 finished with value: 0.8003601898566235 and parameters: {'n_estimators': 48, 'learning_rate': 0.5677732970174992, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 50, 'min_samples_leaf': 24}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:49:00,851] Trial 80 finished with value: 0.8098768673305674 and parameters: {'n_estimators': 63, 'learning_rate': 0.006071690330132312, 'criterion': 'entropy', 'max_depth': 17, 'min_samples_split': 42, 'min_samples_leaf': 22}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:50:29,213] Trial 96 finished with value: 0.8178426390140953 and parameters: {'n_estimators': 59, 'learning_rate': 0.03162244691365311, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 57, 'min_samples_leaf': 16}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:51:24,968] Trial 116 finished with value: 0.8109669262170488 and parameters: {'n_estimators': 38, 'learning_rate': 0.007993512555395139, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 58, 'min_samples_leaf': 16}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:51:58,928] Trial 130 finished with value: 0.8130633095573234 and parameters: {'n_estimators': 34, 'learning_rate': 0.09494052459889521, 'criterion': 'gini', 'max_depth': 9, 'min_samples_split': 62, 'min_samples_leaf': 11}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:52:37,969] Trial 145 finished with value: 0.8151173951474446 and parameters: {'n_estimators': 32, 'learning_rate': 0.041941736094788684, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 26, 'min_samples_leaf': 3}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:54:15,141] Trial 161 finished with value: 0.8104639748638546 and parameters: {'n_estimators': 39, 'learning_rate': 0.29942938491463383, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 57, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:55:09,749] Trial 176 finished with value: 0.8169200314201817 and parameters: {'n_estimators': 43, 'learning_rate': 0.07021111522930823, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 60, 'min_samples_leaf': 13}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:55:58,004] Trial 192 finished with value: 0.8150756597271647 and parameters: {'n_estimators': 44, 'learning_rate': 0.13177474678878828, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 8}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:56:59,707] Trial 208 finished with value: 0.8170039240081468 and parameters: {'n_estimators': 46, 'learning_rate': 0.054152758770471196, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 9, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
