[I 2025-04-07 03:57:39,089] A new study created in RDB with name: lightgbm
[I 2025-04-07 03:58:24,975] Trial 17 finished with value: 0.8164588330600762 and parameters: {'lambda_l1': 1.332859852897014e-09, 'lambda_l2': 0.662698185523416, 'num_leaves': 68, 'feature_fraction': 0.9854733889988865, 'bagging_fraction': 0.7158625416400428, 'bagging_freq': 12, 'min_child_samples': 64}. Best is trial 14 with value: 0.8197708857222687.
[I 2025-04-07 03:58:27,654] Trial 18 finished with value: 0.8172972493282794 and parameters: {'lambda_l1': 0.015576327922483332, 'lambda_l2': 0.059948037962625364, 'num_leaves': 72, 'feature_fraction': 0.6179662587120883, 'bagging_fraction': 0.707632479770653, 'bagging_freq': 1, 'min_child_samples': 7}. Best is trial 14 with value: 0.8197708857222687.
[I 2025-04-07 03:58:29,229] Trial 19 finished with value: 0.8071103273638502 and parameters: {'lambda_l1': 46.9404484848377, 'lambda_l2': 8.420774745945575, 'num_leaves': 83, 'feature_fraction': 0.5482171794348873, 'bagging_fraction': 0.8978998044106743, 'bagging_freq': 9, 'min_child_samples': 111}. Best is trial 14 with value: 0.8197708857222687.
[I 2025-04-07 03:58:31,553] Trial 20 finished with value: 0.817590767949306 and parameters: {'lambda_l1': 0.11959563880190767, 'lambda_l2': 5.631382985657959e-06, 'num_leaves': 59, 'feature_fraction': 0.695246257343132, 'bagging_fraction': 0.7649186701842219, 'bagging_freq': 8, 'min_child_samples': 78}. Best is trial 14 with value: 0.8197708857222687.
[I 2025-04-07 03:58:33,369] Trial 21 finished with value: 0.8180520190278371 and parameters: {'lambda_l1': 3.85904828631878e-07, 'lambda_l2': 69.62940315093165, 'num_leaves': 45, 'feature_fraction': 0.7929477238888045, 'bagging_fraction': 0.7931431454133364, 'bagging_freq': 5, 'min_child_samples': 128}. Best is trial 14 with value: 0.8197708857222687.
[I 2025-04-07 03:58:35,134] Trial 22 finished with value: 0.8181774361623798 and parameters: {'lambda_l1': 1.8617381369247228e-06, 'lambda_l2': 4.835444249812362, 'num_leaves': 44, 'feature_fraction': 0.7192463330316079, 'bagging_fraction': 0.8623449190871381, 'bagging_freq': 5, 'min_child_samples': 114}. Best is trial 14 with value: 0.8197708857222687.
[I 2025-04-07 03:58:36,544] Trial 23 finished with value: 0.8191840066354926 and parameters: {'lambda_l1': 1.4323165599196846e-08, 'lambda_l2': 2.8538650730730644, 'num_leaves': 31, 'feature_fraction': 0.8200561258389562, 'bagging_fraction': 0.7775591867444571, 'bagging_freq': 4, 'min_child_samples': 127}. Best is trial 14 with value: 0.8197708857222687.
[I 2025-04-07 03:58:37,827] Trial 24 finished with value: 0.8186807916901703 and parameters: {'lambda_l1': 1.2084188150192556e-09, 'lambda_l2': 0.0005908553013865956, 'num_leaves': 29, 'feature_fraction': 0.8031626824998646, 'bagging_fraction': 0.4085922596877661, 'bagging_freq': 2, 'min_child_samples': 102}. Best is trial 14 with value: 0.8197708857222687.
[I 2025-04-07 03:58:40,817] Trial 25 finished with value: 0.8179680561486379 and parameters: {'lambda_l1': 1.5926570759929316e-08, 'lambda_l2': 0.04949919466956415, 'num_leaves': 60, 'feature_fraction': 0.853219914184574, 'bagging_fraction': 0.9161365522062761, 'bagging_freq': 3, 'min_child_samples': 116}. Best is trial 14 with value: 0.8197708857222687.
[I 2025-04-07 03:58:42,249] Trial 26 finished with value: 0.819477454965285 and parameters: {'lambda_l1': 0.00019622752123194196, 'lambda_l2': 1.8560802779245051, 'num_leaves': 30, 'feature_fraction': 0.8137500560077104, 'bagging_fraction': 0.7426040260116705, 'bagging_freq': 8, 'min_child_samples': 92}. Best is trial 14 with value: 0.8197708857222687.
