[I 2025-04-07 04:59:49,343] Using an existing study with name 'random-forest' instead of creating a new one.
[I 2025-04-07 05:05:59,769] Trial 103 finished with value: 0.8172974426291735 and parameters: {'n_estimators': 134, 'criterion': 'gini', 'max_depth': 60, 'min_samples_split': 4, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:06:11,417] Trial 107 finished with value: 0.816794350693511 and parameters: {'n_estimators': 106, 'criterion': 'gini', 'max_depth': 62, 'min_samples_split': 3, 'min_samples_leaf': 2}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:06:22,605] Trial 111 finished with value: 0.8110088725110314 and parameters: {'n_estimators': 111, 'criterion': 'gini', 'max_depth': 58, 'min_samples_split': 8, 'min_samples_leaf': 18}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:06:35,447] Trial 116 finished with value: 0.8178842514247154 and parameters: {'n_estimators': 120, 'criterion': 'gini', 'max_depth': 61, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:06:50,317] Trial 120 finished with value: 0.8170039240081467 and parameters: {'n_estimators': 130, 'criterion': 'entropy', 'max_depth': 53, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:07:04,539] Trial 124 finished with value: 0.8167942979750853 and parameters: {'n_estimators': 129, 'criterion': 'gini', 'max_depth': 43, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:07:14,550] Trial 128 finished with value: 0.8180939126033939 and parameters: {'n_estimators': 91, 'criterion': 'gini', 'max_depth': 47, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:07:24,856] Trial 130 finished with value: 0.8159557938428394 and parameters: {'n_estimators': 91, 'criterion': 'gini', 'max_depth': 47, 'min_samples_split': 10, 'min_samples_leaf': 3}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:07:36,885] Trial 134 finished with value: 0.8181357358877168 and parameters: {'n_estimators': 102, 'criterion': 'gini', 'max_depth': 49, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:07:47,799] Trial 137 finished with value: 0.8181357358877168 and parameters: {'n_estimators': 102, 'criterion': 'gini', 'max_depth': 49, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:07:58,518] Trial 141 finished with value: 0.8121410182739636 and parameters: {'n_estimators': 102, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 10, 'min_samples_leaf': 14}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:08:11,112] Trial 145 finished with value: 0.816123561445961 and parameters: {'n_estimators': 117, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:08:22,015] Trial 149 finished with value: 0.814949522107472 and parameters: {'n_estimators': 94, 'criterion': 'gini', 'max_depth': 48, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 146 with value: 0.8185131119510913.
[I 2025-04-07 05:08:33,741] Trial 153 finished with value: 0.8162072607330322 and parameters: {'n_estimators': 107, 'criterion': 'gini', 'max_depth': 46, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 146 with value: 0.8185131119510913.
[I 2025-04-07 05:08:47,370] Trial 157 finished with value: 0.8167524219723369 and parameters: {'n_estimators': 123, 'criterion': 'gini', 'max_depth': 46, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 146 with value: 0.8185131119510913.
[I 2025-04-07 05:08:58,429] Trial 161 finished with value: 0.8150333268313942 and parameters: {'n_estimators': 100, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:09:11,300] Trial 165 finished with value: 0.8159977225640134 and parameters: {'n_estimators': 114, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:09:23,299] Trial 169 finished with value: 0.8184712183755345 and parameters: {'n_estimators': 114, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:09:32,557] Trial 173 finished with value: 0.816542848657701 and parameters: {'n_estimators': 83, 'criterion': 'entropy', 'max_depth': 55, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:09:43,927] Trial 177 finished with value: 0.8154525788975171 and parameters: {'n_estimators': 104, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:09:54,912] Trial 181 finished with value: 0.818345414639204 and parameters: {'n_estimators': 94, 'criterion': 'gini', 'max_depth': 49, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:10:05,490] Trial 185 finished with value: 0.81809384231216 and parameters: {'n_estimators': 92, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:10:15,222] Trial 189 finished with value: 0.816249417900717 and parameters: {'n_estimators': 87, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:10:26,457] Trial 193 finished with value: 0.8159976522727792 and parameters: {'n_estimators': 96, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:10:36,140] Trial 197 finished with value: 0.8184293247999774 and parameters: {'n_estimators': 79, 'criterion': 'gini', 'max_depth': 49, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:10:46,952] Trial 200 finished with value: 0.8181357534605253 and parameters: {'n_estimators': 77, 'criterion': 'gini', 'max_depth': 48, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:10:56,879] Trial 203 finished with value: 0.8172134270315485 and parameters: {'n_estimators': 74, 'criterion': 'gini', 'max_depth': 49, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:11:11,665] Trial 207 finished with value: 0.8179681088670634 and parameters: {'n_estimators': 120, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:11:26,474] Trial 213 finished with value: 0.8170038361441041 and parameters: {'n_estimators': 118, 'criterion': 'gini', 'max_depth': 45, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:11:39,822] Trial 217 finished with value: 0.8187227379841528 and parameters: {'n_estimators': 108, 'criterion': 'gini', 'max_depth': 47, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:11:54,899] Trial 221 finished with value: 0.8152010592888986 and parameters: {'n_estimators': 117, 'criterion': 'gini', 'max_depth': 46, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:12:10,554] Trial 225 finished with value: 0.8181358061789508 and parameters: {'n_estimators': 121, 'criterion': 'gini', 'max_depth': 43, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:12:25,003] Trial 229 finished with value: 0.8163750810545792 and parameters: {'n_estimators': 109, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:12:39,525] Trial 233 finished with value: 0.8162491894542061 and parameters: {'n_estimators': 110, 'criterion': 'gini', 'max_depth': 47, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:12:54,505] Trial 237 finished with value: 0.8184712183755345 and parameters: {'n_estimators': 114, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:13:06,811] Trial 241 finished with value: 0.8165428135120839 and parameters: {'n_estimators': 107, 'criterion': 'gini', 'max_depth': 31, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:13:18,639] Trial 245 finished with value: 0.8184712183755345 and parameters: {'n_estimators': 113, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:13:30,366] Trial 249 finished with value: 0.8162073134514578 and parameters: {'n_estimators': 106, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:13:41,490] Trial 253 finished with value: 0.8160397040036129 and parameters: {'n_estimators': 105, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:13:53,065] Trial 257 finished with value: 0.815620487083107 and parameters: {'n_estimators': 110, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 9, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:14:04,451] Trial 261 finished with value: 0.8183873082147608 and parameters: {'n_estimators': 112, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:14:11,333] Trial 265 finished with value: 0.8164587803416505 and parameters: {'n_estimators': 55, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:14:22,785] Trial 267 finished with value: 0.8186388629689964 and parameters: {'n_estimators': 100, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:14:34,909] Trial 271 finished with value: 0.8161653320118581 and parameters: {'n_estimators': 114, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:14:46,380] Trial 275 finished with value: 0.8156202410637876 and parameters: {'n_estimators': 107, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 158 with value: 0.8187227379841528.
[I 2025-04-07 05:14:50,603] Trial 279 finished with value: 0.8140273186881547 and parameters: {'n_estimators': 35, 'criterion': 'gini', 'max_depth': 57, 'min_samples_split': 10, 'min_samples_leaf': 10}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:15:01,689] Trial 283 finished with value: 0.8159138475488568 and parameters: {'n_estimators': 98, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:15:12,873] Trial 286 finished with value: 0.8164588506328847 and parameters: {'n_estimators': 103, 'criterion': 'gini', 'max_depth': 56, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:15:24,766] Trial 290 finished with value: 0.8158720242645341 and parameters: {'n_estimators': 108, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:15:36,469] Trial 294 finished with value: 0.815997581981545 and parameters: {'n_estimators': 112, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:15:46,900] Trial 298 finished with value: 0.81826162748809 and parameters: {'n_estimators': 96, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:15:57,929] Trial 302 finished with value: 0.8156206276655753 and parameters: {'n_estimators': 105, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 8, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:16:09,379] Trial 306 finished with value: 0.8162492070270148 and parameters: {'n_estimators': 105, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:16:22,087] Trial 310 finished with value: 0.817129745317286 and parameters: {'n_estimators': 123, 'criterion': 'entropy', 'max_depth': 52, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:16:32,824] Trial 314 finished with value: 0.8185550055266484 and parameters: {'n_estimators': 100, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:16:44,927] Trial 318 finished with value: 0.8154525261790916 and parameters: {'n_estimators': 115, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:16:56,981] Trial 322 finished with value: 0.8158720242645341 and parameters: {'n_estimators': 108, 'criterion': 'gini', 'max_depth': 56, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:17:09,750] Trial 326 finished with value: 0.8162492070270148 and parameters: {'n_estimators': 106, 'criterion': 'gini', 'max_depth': 58, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:17:22,775] Trial 330 finished with value: 0.8169201017114158 and parameters: {'n_estimators': 98, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 12, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:17:36,980] Trial 334 finished with value: 0.8126438817631151 and parameters: {'n_estimators': 112, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 10, 'min_samples_leaf': 11}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:17:52,266] Trial 338 finished with value: 0.8184292369359347 and parameters: {'n_estimators': 110, 'criterion': 'gini', 'max_depth': 56, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:18:06,727] Trial 341 finished with value: 0.8157462732466291 and parameters: {'n_estimators': 108, 'criterion': 'gini', 'max_depth': 57, 'min_samples_split': 9, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:18:22,055] Trial 345 finished with value: 0.8167942276838511 and parameters: {'n_estimators': 117, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:18:35,780] Trial 351 finished with value: 0.816794350693511 and parameters: {'n_estimators': 97, 'criterion': 'entropy', 'max_depth': 51, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:18:47,240] Trial 355 finished with value: 0.8158720418373425 and parameters: {'n_estimators': 105, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 9, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:18:57,297] Trial 359 finished with value: 0.8159139354128996 and parameters: {'n_estimators': 95, 'criterion': 'gini', 'max_depth': 37, 'min_samples_split': 9, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:19:08,272] Trial 363 finished with value: 0.8188065954265008 and parameters: {'n_estimators': 99, 'criterion': 'gini', 'max_depth': 56, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:19:19,401] Trial 367 finished with value: 0.8164588506328847 and parameters: {'n_estimators': 99, 'criterion': 'gini', 'max_depth': 56, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:19:30,172] Trial 371 finished with value: 0.8161236844556209 and parameters: {'n_estimators': 100, 'criterion': 'gini', 'max_depth': 58, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:19:40,201] Trial 375 finished with value: 0.8153688796104461 and parameters: {'n_estimators': 89, 'criterion': 'gini', 'max_depth': 59, 'min_samples_split': 10, 'min_samples_leaf': 7}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:19:50,546] Trial 379 finished with value: 0.8152430231556899 and parameters: {'n_estimators': 96, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:20:01,607] Trial 383 finished with value: 0.8186389332602305 and parameters: {'n_estimators': 104, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:20:13,046] Trial 387 finished with value: 0.8161656131767948 and parameters: {'n_estimators': 104, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:20:25,609] Trial 391 finished with value: 0.8159138475488568 and parameters: {'n_estimators': 98, 'criterion': 'gini', 'max_depth': 57, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:20:39,523] Trial 395 finished with value: 0.8154525788975171 and parameters: {'n_estimators': 106, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:20:53,216] Trial 399 finished with value: 0.8143210481828836 and parameters: {'n_estimators': 107, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 10, 'min_samples_leaf': 9}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:21:05,858] Trial 403 finished with value: 0.8158299198152748 and parameters: {'n_estimators': 95, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 10, 'min_samples_leaf': 3}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:21:19,572] Trial 407 finished with value: 0.8182615220512389 and parameters: {'n_estimators': 102, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:21:33,766] Trial 411 finished with value: 0.8161234735819182 and parameters: {'n_estimators': 109, 'criterion': 'gini', 'max_depth': 56, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:21:47,862] Trial 415 finished with value: 0.8165426377839985 and parameters: {'n_estimators': 108, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:22:01,995] Trial 419 finished with value: 0.8182616274880902 and parameters: {'n_estimators': 98, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:22:16,888] Trial 422 finished with value: 0.8158300779705515 and parameters: {'n_estimators': 104, 'criterion': 'gini', 'max_depth': 59, 'min_samples_split': 10, 'min_samples_leaf': 3}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:22:29,629] Trial 426 finished with value: 0.8159977752824389 and parameters: {'n_estimators': 105, 'criterion': 'entropy', 'max_depth': 57, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 276 with value: 0.8188065954265008.
[I 2025-04-07 05:22:39,235] Trial 430 finished with value: 0.8163750986273879 and parameters: {'n_estimators': 86, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 9, 'min_samples_leaf': 2}. Best is trial 276 with value: 0.8188065954265008.
