[I 2025-04-07 02:55:29,055] Using an existing study with name 'catboost' instead of creating a new one.
[I 2025-04-07 02:56:02,582] Trial 2 finished with value: 0.793610649824887 and parameters: {'iterations': 173, 'learning_rate': 0.008619668014613786, 'objective': 'Logloss', 'colsample_bylevel': 0.3301536680500068, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS', 'subsample': 0.8635165072647778}. Best is trial 2 with value: 0.793610649824887.
[I 2025-04-07 02:56:29,000] Trial 6 finished with value: 0.7941976694941315 and parameters: {'iterations': 201, 'learning_rate': 0.003873927668212545, 'objective': 'Logloss', 'colsample_bylevel': 0.5001473107272045, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS', 'subsample': 0.41279292885557617}. Best is trial 4 with value: 0.8079485679039682.
[I 2025-04-07 02:56:39,998] Trial 11 finished with value: 0.8050138210139159 and parameters: {'iterations': 244, 'learning_rate': 0.7716294475136979, 'objective': 'Logloss', 'colsample_bylevel': 0.11472153374807746, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.446040545560759}. Best is trial 4 with value: 0.8079485679039682.
[I 2025-04-07 02:57:56,162] Trial 15 finished with value: 0.815871989118917 and parameters: {'iterations': 244, 'learning_rate': 0.29732200797114994, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9622090477829067, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6982940077098556}. Best is trial 15 with value: 0.815871989118917.
[I 2025-04-07 02:59:08,929] Trial 21 finished with value: 0.8138595510850332 and parameters: {'iterations': 227, 'learning_rate': 0.3898717420844765, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9812990166533027, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.615969739120177}. Best is trial 20 with value: 0.8159978631464817.
[I 2025-04-07 02:59:23,997] Trial 23 finished with value: 0.8052656042146623 and parameters: {'iterations': 97, 'learning_rate': 0.06250488003831706, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8886343020547879, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9794114534704288}. Best is trial 20 with value: 0.8159978631464817.
[I 2025-04-07 02:59:43,360] Trial 25 finished with value: 0.8130212402536809 and parameters: {'iterations': 229, 'learning_rate': 0.06533224145933182, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.2316364872620701, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6668741121545766}. Best is trial 20 with value: 0.8159978631464817.
[I 2025-04-07 03:00:51,125] Trial 26 finished with value: 0.8139436369738922 and parameters: {'iterations': 231, 'learning_rate': 0.07143804960843836, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.22917796373273808, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6741677629499007}. Best is trial 31 with value: 0.8192259177838579.
[I 2025-04-07 03:01:07,124] Trial 36 finished with value: 0.8161655253127522 and parameters: {'iterations': 178, 'learning_rate': 0.6845199992933828, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8255268249962044, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.885908956460432}. Best is trial 31 with value: 0.8192259177838579.
[I 2025-04-07 03:01:16,888] Trial 39 finished with value: 0.8109249447774491 and parameters: {'iterations': 155, 'learning_rate': 0.9374045201061414, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.6123616918798084, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 2.2976274235398133}. Best is trial 31 with value: 0.8192259177838579.
[I 2025-04-07 03:01:28,328] Trial 42 finished with value: 0.8011570991510576 and parameters: {'iterations': 113, 'learning_rate': 0.03999649375478303, 'objective': 'Logloss', 'colsample_bylevel': 0.7500509762935819, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS', 'subsample': 0.8420753750185052}. Best is trial 31 with value: 0.8192259177838579.
[I 2025-04-07 03:01:44,865] Trial 46 finished with value: 0.8184714116764283 and parameters: {'iterations': 191, 'learning_rate': 0.19511250034266833, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8844776679185157, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9362910133556025}. Best is trial 44 with value: 0.8193519323938909.
[I 2025-04-07 03:02:16,257] Trial 50 finished with value: 0.8170878517417289 and parameters: {'iterations': 199, 'learning_rate': 0.1161492456962438, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.688458209858971, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9547955920743041}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:03:12,012] Trial 54 finished with value: 0.817632960262608 and parameters: {'iterations': 214, 'learning_rate': 0.10990800705395223, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9209512197239895, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9998856843909243}. Best is trial 47 with value: 0.8203578175274707.
