[I 2025-04-07 01:41:33,197] Using an existing study with name 'adaboost' instead of creating a new one.
[I 2025-04-07 01:43:58,146] Trial 7 finished with value: 0.805852131845268 and parameters: {'n_estimators': 60, 'learning_rate': 1.915434899935869, 'criterion': 'entropy', 'max_depth': 22, 'min_samples_split': 13, 'min_samples_leaf': 4}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:44:40,198] Trial 40 finished with value: 0.8120151091007818 and parameters: {'n_estimators': 52, 'learning_rate': 0.19095544915805016, 'criterion': 'log_loss', 'max_depth': 7, 'min_samples_split': 59, 'min_samples_leaf': 8}. Best is trial 32 with value: 0.8155366999319933.
[I 2025-04-07 01:46:12,392] Trial 52 finished with value: 0.8154529127808795 and parameters: {'n_estimators': 56, 'learning_rate': 0.015417742675485213, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 52, 'min_samples_leaf': 19}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:47:54,992] Trial 69 finished with value: 0.7974255484034225 and parameters: {'n_estimators': 63, 'learning_rate': 0.5416168063687845, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 60, 'min_samples_leaf': 24}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:49:54,206] Trial 85 finished with value: 0.8126015840129618 and parameters: {'n_estimators': 64, 'learning_rate': 0.05617941073264898, 'criterion': 'entropy', 'max_depth': 19, 'min_samples_split': 57, 'min_samples_leaf': 21}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:50:46,948] Trial 108 finished with value: 0.81583009554336 and parameters: {'n_estimators': 40, 'learning_rate': 0.02582238153571304, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 60, 'min_samples_leaf': 5}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:51:34,961] Trial 122 finished with value: 0.8171717091840769 and parameters: {'n_estimators': 36, 'learning_rate': 0.09524158771291517, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 55, 'min_samples_leaf': 14}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:52:13,670] Trial 140 finished with value: 0.8154110367781311 and parameters: {'n_estimators': 32, 'learning_rate': 0.03938935059794889, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 62, 'min_samples_leaf': 12}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:53:08,449] Trial 154 finished with value: 0.814782070814904 and parameters: {'n_estimators': 30, 'learning_rate': 0.17082968506813181, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 64, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:54:29,997] Trial 168 finished with value: 0.8159560750077759 and parameters: {'n_estimators': 39, 'learning_rate': 0.07058834985819985, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 57, 'min_samples_leaf': 6}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:55:18,985] Trial 183 finished with value: 0.8157046081175832 and parameters: {'n_estimators': 42, 'learning_rate': 0.030353102288701042, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 13}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:56:00,955] Trial 198 finished with value: 0.8139856008406833 and parameters: {'n_estimators': 44, 'learning_rate': 0.13290628973121565, 'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 61, 'min_samples_leaf': 8}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:56:49,626] Trial 209 finished with value: 0.8167104229599287 and parameters: {'n_estimators': 37, 'learning_rate': 0.05873592214870508, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 58, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:57:41,334] Trial 221 finished with value: 0.8167525274091881 and parameters: {'n_estimators': 37, 'learning_rate': 0.08538999976214738, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 55, 'min_samples_leaf': 18}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:58:48,197] Trial 233 finished with value: 0.8169619074229301 and parameters: {'n_estimators': 47, 'learning_rate': 0.09668311438638186, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 55, 'min_samples_leaf': 18}. Best is trial 121 with value: 0.8182618559346011.
