[I 2025-04-07 02:55:29,052] Using an existing study with name 'catboost' instead of creating a new one.
[I 2025-04-07 03:06:30,208] Trial 88 finished with value: 0.8152012701626014 and parameters: {'iterations': 183, 'learning_rate': 0.5685291973342768, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8825780037234364, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.4536122583226851}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:06:56,620] Trial 91 finished with value: 0.8188484890020578 and parameters: {'iterations': 186, 'learning_rate': 0.27895276837372174, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9082281975771062, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.57036264189406}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:07:05,787] Trial 99 finished with value: 0.8160813515598504 and parameters: {'iterations': 191, 'learning_rate': 0.4040891779562994, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9441767808572269, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.919080734374459}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:07:59,952] Trial 102 finished with value: 0.8070264874943108 and parameters: {'iterations': 204, 'learning_rate': 0.6978789099049212, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.913812442719364, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.3817518221951355}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:08:31,209] Trial 112 finished with value: 0.8162492597454403 and parameters: {'iterations': 197, 'learning_rate': 0.152900915200916, 'objective': 'Logloss', 'colsample_bylevel': 0.8211731557603672, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS', 'subsample': 0.7265476370723135}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:08:46,203] Trial 114 finished with value: 0.8170459581661719 and parameters: {'iterations': 182, 'learning_rate': 0.19650793263585462, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8608770375590069, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6133472979511074}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:09:02,668] Trial 115 finished with value: 0.8204418331250954 and parameters: {'iterations': 188, 'learning_rate': 0.24558003539583148, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9819220726063055, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9390850302107026}. Best is trial 115 with value: 0.8204418331250954.
[I 2025-04-07 03:09:19,452] Trial 119 finished with value: 0.8176330305538423 and parameters: {'iterations': 194, 'learning_rate': 0.17051418695471973, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9716316477697221, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9421225644821652}. Best is trial 115 with value: 0.8204418331250954.
[I 2025-04-07 03:10:01,797] Trial 123 finished with value: 0.8165429365217436 and parameters: {'iterations': 167, 'learning_rate': 0.09184282877486628, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8008377687230066, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9305951475989775}. Best is trial 115 with value: 0.8204418331250954.
[I 2025-04-07 03:10:30,108] Trial 128 finished with value: 0.8198547431646167 and parameters: {'iterations': 182, 'learning_rate': 0.23943981654145963, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7423108389844194, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9050084982131881}. Best is trial 115 with value: 0.8204418331250954.
[I 2025-04-07 03:10:56,973] Trial 131 finished with value: 0.8176329426897995 and parameters: {'iterations': 183, 'learning_rate': 0.13004818540651372, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.6827811400406137, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.963094544034703}. Best is trial 115 with value: 0.8204418331250954.
[I 2025-04-07 03:11:39,728] Trial 135 finished with value: 0.8204832873804391 and parameters: {'iterations': 174, 'learning_rate': 0.24188441587599507, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7509496219378443, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9656103574910723}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:12:05,862] Trial 139 finished with value: 0.8115539810319105 and parameters: {'iterations': 176, 'learning_rate': 0.2447785191287924, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.6951319371508381, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.396031922888998}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:12:44,943] Trial 143 finished with value: 0.8185548825169885 and parameters: {'iterations': 154, 'learning_rate': 0.298039829746311, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7611255176366621, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9204037876918968}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:14:07,816] Trial 147 finished with value: 0.8017019967982343 and parameters: {'iterations': 184, 'learning_rate': 0.013274799128953555, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7460189915024511, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9146585329562973}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:15:10,565] Trial 152 finished with value: 0.8189741697287285 and parameters: {'iterations': 170, 'learning_rate': 0.22264266968409938, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.4966591631152127, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9593367742249286}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:15:30,964] Trial 156 finished with value: 0.8171296223076261 and parameters: {'iterations': 179, 'learning_rate': 0.15836242938956613, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.2928394878010806, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.981041182977394}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:16:40,516] Trial 159 finished with value: 0.8199802305903937 and parameters: {'iterations': 168, 'learning_rate': 0.2597102380005193, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5656001357470183, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8796840805687922}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:17:47,455] Trial 163 finished with value: 0.8186805456708507 and parameters: {'iterations': 171, 'learning_rate': 0.2595896168886811, 'objective': 'Logloss', 'colsample_bylevel': 0.5751504783901913, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8827002658566635}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:18:52,377] Trial 167 finished with value: 0.8200222647484189 and parameters: {'iterations': 160, 'learning_rate': 0.29680384214967453, 'objective': 'Logloss', 'colsample_bylevel': 0.5375578169825896, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9043847229235089}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:19:49,692] Trial 171 finished with value: 0.818555356982819 and parameters: {'iterations': 150, 'learning_rate': 0.34064822501996866, 'objective': 'Logloss', 'colsample_bylevel': 0.5249218855444727, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9287788159665736}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:20:10,826] Trial 173 finished with value: 0.8189322937259803 and parameters: {'iterations': 155, 'learning_rate': 0.30175496789894785, 'objective': 'Logloss', 'colsample_bylevel': 0.4844249387720089, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS', 'subsample': 0.9041568491172753}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:21:08,700] Trial 176 finished with value: 0.8192257947741982 and parameters: {'iterations': 149, 'learning_rate': 0.24150340213014904, 'objective': 'Logloss', 'colsample_bylevel': 0.5338953746689046, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9454241582366341}. Best is trial 135 with value: 0.8204832873804391.
