[I 2025-04-07 06:01:59,126] A new study created in RDB with name: xgboost
[I 2025-04-07 06:03:20,805] Trial 18 finished with value: 0.8170038712897212 and parameters: {'max_depth': 15, 'learning_rate': 0.016325504435046156, 'n_estimators': 178, 'gamma': 0.22744463161261574, 'min_child_weight': 2, 'subsample': 0.7770381460971795, 'colsample_bytree': 0.6836128802174563}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:03:27,158] Trial 19 finished with value: 0.6377394866279713 and parameters: {'max_depth': 24, 'learning_rate': 1.0943612553345985e-05, 'n_estimators': 235, 'gamma': 0.12108693934705775, 'min_child_weight': 5, 'subsample': 0.6722382403847188, 'colsample_bytree': 0.986836361005454}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:03:37,592] Trial 20 finished with value: 0.793652842138189 and parameters: {'max_depth': 28, 'learning_rate': 0.0032169163509087467, 'n_estimators': 205, 'gamma': 0.3745731150818556, 'min_child_weight': 2, 'subsample': 0.7349730425275922, 'colsample_bytree': 0.894923777904006}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:03:39,356] Trial 21 finished with value: 0.8165009375093355 and parameters: {'max_depth': 26, 'learning_rate': 0.0340945994977855, 'n_estimators': 52, 'gamma': 0.27894381628312265, 'min_child_weight': 5, 'subsample': 0.5062943335195474, 'colsample_bytree': 0.8089361696508719}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:03:42,316] Trial 22 finished with value: 0.8198546553005741 and parameters: {'max_depth': 25, 'learning_rate': 0.025663373997888976, 'n_estimators': 80, 'gamma': 0.290639678964582, 'min_child_weight': 5, 'subsample': 0.5510168987073223, 'colsample_bytree': 0.8665007286507681}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:03:45,128] Trial 23 finished with value: 0.8083672752130264 and parameters: {'max_depth': 21, 'learning_rate': 0.15824894796865466, 'n_estimators': 83, 'gamma': 0.40001445798345636, 'min_child_weight': 4, 'subsample': 0.6483001347508396, 'colsample_bytree': 0.8713740142729189}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:03:48,380] Trial 24 finished with value: 0.8135240861700239 and parameters: {'max_depth': 29, 'learning_rate': 0.09619116082475736, 'n_estimators': 127, 'gamma': 0.3262791687725698, 'min_child_weight': 6, 'subsample': 0.5666613212825347, 'colsample_bytree': 0.7910400687680104}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:03:51,458] Trial 25 finished with value: 0.8148240874001207 and parameters: {'max_depth': 32, 'learning_rate': 0.020302843113109426, 'n_estimators': 75, 'gamma': 0.2216283940744351, 'min_child_weight': 4, 'subsample': 0.7305030540757792, 'colsample_bytree': 0.7209018663041523}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:03:55,155] Trial 26 finished with value: 0.7017985242355389 and parameters: {'max_depth': 24, 'learning_rate': 0.003162177528087709, 'n_estimators': 119, 'gamma': 0.5472902983689749, 'min_child_weight': 5, 'subsample': 0.792755907745147, 'colsample_bytree': 0.873220906168368}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:03:57,396] Trial 27 finished with value: 0.7951197147581717 and parameters: {'max_depth': 16, 'learning_rate': 0.6311647443028763, 'n_estimators': 164, 'gamma': 0.12085593513774881, 'min_child_weight': 3, 'subsample': 0.91408036513806, 'colsample_bytree': 0.7468262497046458}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:03:59,697] Trial 28 finished with value: 0.8061037568907375 and parameters: {'max_depth': 25, 'learning_rate': 0.22081531813802907, 'n_estimators': 93, 'gamma': 0.31722396186908325, 'min_child_weight': 6, 'subsample': 0.6479603776810645, 'colsample_bytree': 0.6499649880034343}. Best is trial 22 with value: 0.8198546553005741.
