[I 2025-04-08 00:10:28,845] A new study created in RDB with name: lightgbm-num_features-13
[I 2025-04-08 00:11:08,537] Trial 17 finished with value: 0.8194771386547313 and parameters: {'lambda_l1': 4.048853209173516e-08, 'lambda_l2': 2.5069479692049954e-06, 'num_leaves': 60, 'feature_fraction': 0.5864395898233935, 'bagging_fraction': 0.883403196617491, 'bagging_freq': 2, 'min_child_samples': 60}. Best is trial 15 with value: 0.8201062100548097.
[I 2025-04-08 00:11:10,383] Trial 18 finished with value: 0.8180938950305855 and parameters: {'lambda_l1': 9.38150877927525e-06, 'lambda_l2': 0.001295449250918877, 'num_leaves': 35, 'feature_fraction': 0.41632947013720456, 'bagging_fraction': 0.7615059945735879, 'bagging_freq': 16, 'min_child_samples': 116}. Best is trial 15 with value: 0.8201062100548097.
[I 2025-04-08 00:11:11,401] Trial 19 finished with value: 0.8198129901715282 and parameters: {'lambda_l1': 2.6969047150043906e-08, 'lambda_l2': 2.6402574814767876e-05, 'num_leaves': 15, 'feature_fraction': 0.5086432638894485, 'bagging_fraction': 0.9375523630475578, 'bagging_freq': 7, 'min_child_samples': 86}. Best is trial 15 with value: 0.8201062100548097.
[I 2025-04-08 00:11:13,867] Trial 20 finished with value: 0.8175486986456637 and parameters: {'lambda_l1': 1.2282447904319645e-05, 'lambda_l2': 1.213546247650906e-07, 'num_leaves': 54, 'feature_fraction': 0.6518065265168581, 'bagging_fraction': 0.8308176841259598, 'bagging_freq': 4, 'min_child_samples': 3}. Best is trial 15 with value: 0.8201062100548097.
[I 2025-04-08 00:11:15,761] Trial 21 finished with value: 0.8185550230994568 and parameters: {'lambda_l1': 1.2833854160264951e-05, 'lambda_l2': 0.0001931449813378746, 'num_leaves': 41, 'feature_fraction': 0.5093535024960395, 'bagging_fraction': 0.8977444713400108, 'bagging_freq': 3, 'min_child_samples': 75}. Best is trial 15 with value: 0.8201062100548097.
[I 2025-04-08 00:11:17,546] Trial 22 finished with value: 0.8196871161439635 and parameters: {'lambda_l1': 2.5966269606925254e-08, 'lambda_l2': 0.0031960234336456373, 'num_leaves': 36, 'feature_fraction': 0.5587494819712872, 'bagging_fraction': 0.8241075620855894, 'bagging_freq': 2, 'min_child_samples': 81}. Best is trial 15 with value: 0.8201062100548097.
[I 2025-04-08 00:11:20,039] Trial 23 finished with value: 0.819896742177025 and parameters: {'lambda_l1': 3.7343785067358526e-06, 'lambda_l2': 4.697783670156135e-05, 'num_leaves': 53, 'feature_fraction': 0.5040044965363645, 'bagging_fraction': 0.7164062781814227, 'bagging_freq': 4, 'min_child_samples': 55}. Best is trial 15 with value: 0.8201062100548097.
[I 2025-04-08 00:11:20,641] Trial 24 finished with value: 0.7631317907921998 and parameters: {'lambda_l1': 7.455135129643358e-05, 'lambda_l2': 0.8471633574527999, 'num_leaves': 2, 'feature_fraction': 0.6311418403449333, 'bagging_fraction': 0.8895176865489702, 'bagging_freq': 1, 'min_child_samples': 105}. Best is trial 15 with value: 0.8201062100548097.
[I 2025-04-08 00:11:22,166] Trial 25 finished with value: 0.8191421833511697 and parameters: {'lambda_l1': 1.007438034950817e-08, 'lambda_l2': 0.000416087067475706, 'num_leaves': 21, 'feature_fraction': 0.4653972253286176, 'bagging_fraction': 0.9976787689968383, 'bagging_freq': 3, 'min_child_samples': 77}. Best is trial 15 with value: 0.8201062100548097.
[I 2025-04-08 00:11:23,867] Trial 26 finished with value: 0.8176330656994593 and parameters: {'lambda_l1': 1.999414423901376e-07, 'lambda_l2': 2.7966541615937014e-06, 'num_leaves': 43, 'feature_fraction': 0.40805712580627984, 'bagging_fraction': 0.9295604645097787, 'bagging_freq': 5, 'min_child_samples': 97}. Best is trial 15 with value: 0.8201062100548097.
