[I 2025-04-08 19:29:23,868] A new study created in RDB with name: xgboost-num_features-13
[I 2025-04-08 19:31:13,669] Trial 18 finished with value: 0.6377394866279713 and parameters: {'max_depth': 8, 'learning_rate': 0.0005442253348957119, 'n_estimators': 207, 'gamma': 0.1214498600610516, 'min_child_weight': 4, 'subsample': 0.810316802279442, 'colsample_bytree': 0.9373593568589556}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:31:19,823] Trial 19 finished with value: 0.6377394866279713 and parameters: {'max_depth': 15, 'learning_rate': 1.7492065654610086e-05, 'n_estimators': 268, 'gamma': 0.5790769689688609, 'min_child_weight': 6, 'subsample': 0.6535074354505919, 'colsample_bytree': 0.7085470372555176}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:31:23,434] Trial 20 finished with value: 0.800276349987084 and parameters: {'max_depth': 9, 'learning_rate': 0.19999973735403329, 'n_estimators': 300, 'gamma': 0.0005541087182580617, 'min_child_weight': 5, 'subsample': 0.5102904951464691, 'colsample_bytree': 0.8217493825394458}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:31:28,270] Trial 21 finished with value: 0.8168782784270932 and parameters: {'max_depth': 11, 'learning_rate': 0.006582619815099508, 'n_estimators': 292, 'gamma': 0.3654983675993392, 'min_child_weight': 6, 'subsample': 0.6397644613090577, 'colsample_bytree': 0.8798220185227097}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:31:33,116] Trial 22 finished with value: 0.8144047123243379 and parameters: {'max_depth': 12, 'learning_rate': 0.005034884558845963, 'n_estimators': 270, 'gamma': 0.40788146950482007, 'min_child_weight': 6, 'subsample': 0.5961822739665347, 'colsample_bytree': 0.9073781803729691}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:31:38,376] Trial 23 finished with value: 0.8199806523377987 and parameters: {'max_depth': 16, 'learning_rate': 0.009848319707850125, 'n_estimators': 235, 'gamma': 0.23753107772641524, 'min_child_weight': 5, 'subsample': 0.5664409901123157, 'colsample_bytree': 0.8653896230696608}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:31:44,143] Trial 24 finished with value: 0.8196031884103814 and parameters: {'max_depth': 17, 'learning_rate': 0.014855758525736906, 'n_estimators': 238, 'gamma': 0.2501276912799002, 'min_child_weight': 5, 'subsample': 0.5550306905790794, 'colsample_bytree': 0.9499671252642999}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:31:48,779] Trial 25 finished with value: 0.8119726883409688 and parameters: {'max_depth': 17, 'learning_rate': 0.07462872573716192, 'n_estimators': 230, 'gamma': 0.2410845834926525, 'min_child_weight': 5, 'subsample': 0.5542521339455896, 'colsample_bytree': 0.9978785623780562}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:31:52,994] Trial 26 finished with value: 0.6784051621882364 and parameters: {'max_depth': 22, 'learning_rate': 0.0019861139089871315, 'n_estimators': 165, 'gamma': 0.2450198651969396, 'min_child_weight': 5, 'subsample': 0.5662003138842568, 'colsample_bytree': 0.9464858526094535}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:31:58,751] Trial 27 finished with value: 0.819980371172862 and parameters: {'max_depth': 17, 'learning_rate': 0.016919515911796888, 'n_estimators': 217, 'gamma': 0.2944062572573053, 'min_child_weight': 4, 'subsample': 0.6052517571323434, 'colsample_bytree': 0.8350328461907558}. Best is trial 0 with value: 0.8209028733299242.
