[I 2025-04-07 22:05:14,438] Trial 25 finished with value: 0.8159137772576226 and parameters: {'n_estimators': 126, 'criterion': 'gini', 'max_depth': 41, 'min_samples_split': 6, 'min_samples_leaf': 6}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:05:29,588] Trial 26 finished with value: 0.8173814406539897 and parameters: {'n_estimators': 199, 'criterion': 'entropy', 'max_depth': 27, 'min_samples_split': 9, 'min_samples_leaf': 3}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:05:46,904] Trial 27 finished with value: 0.8154947360652021 and parameters: {'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 24, 'min_samples_split': 11, 'min_samples_leaf': 9}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:06:03,006] Trial 28 finished with value: 0.8109249974958747 and parameters: {'n_estimators': 183, 'criterion': 'entropy', 'max_depth': 13, 'min_samples_split': 17, 'min_samples_leaf': 5}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:06:16,710] Trial 29 finished with value: 0.8156625388139409 and parameters: {'n_estimators': 161, 'criterion': 'entropy', 'max_depth': 26, 'min_samples_split': 13, 'min_samples_leaf': 7}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:06:31,575] Trial 30 finished with value: 0.8167105459695885 and parameters: {'n_estimators': 175, 'criterion': 'entropy', 'max_depth': 35, 'min_samples_split': 10, 'min_samples_leaf': 3}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:06:39,384] Trial 31 finished with value: 0.8156624509498982 and parameters: {'n_estimators': 79, 'criterion': 'entropy', 'max_depth': 29, 'min_samples_split': 9, 'min_samples_leaf': 2}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:06:48,677] Trial 32 finished with value: 0.8178002006814735 and parameters: {'n_estimators': 104, 'criterion': 'entropy', 'max_depth': 22, 'min_samples_split': 8, 'min_samples_leaf': 2}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:06:52,940] Trial 33 finished with value: 0.8162910830297629 and parameters: {'n_estimators': 42, 'criterion': 'entropy', 'max_depth': 21, 'min_samples_split': 12, 'min_samples_leaf': 4}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:07:03,373] Trial 34 finished with value: 0.7997314874855244 and parameters: {'n_estimators': 140, 'criterion': 'entropy', 'max_depth': 9, 'min_samples_split': 6, 'min_samples_leaf': 13}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:07:12,755] Trial 35 finished with value: 0.8140692474093287 and parameters: {'n_estimators': 87, 'criterion': 'entropy', 'max_depth': 17, 'min_samples_split': 3, 'min_samples_leaf': 1}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:07:27,480] Trial 36 finished with value: 0.8117637652202487 and parameters: {'n_estimators': 186, 'criterion': 'entropy', 'max_depth': 45, 'min_samples_split': 12, 'min_samples_leaf': 17}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:07:36,865] Trial 37 finished with value: 0.8165427783664668 and parameters: {'n_estimators': 103, 'criterion': 'entropy', 'max_depth': 24, 'min_samples_split': 15, 'min_samples_leaf': 2}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:07:47,667] Trial 38 finished with value: 0.8164588506328846 and parameters: {'n_estimators': 120, 'criterion': 'entropy', 'max_depth': 21, 'min_samples_split': 9, 'min_samples_leaf': 4}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:08:04,987] Trial 39 finished with value: 0.8165009550821442 and parameters: {'n_estimators': 198, 'criterion': 'entropy', 'max_depth': 51, 'min_samples_split': 7, 'min_samples_leaf': 6}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:08:11,000] Trial 40 finished with value: 0.8162913114762741 and parameters: {'n_estimators': 49, 'criterion': 'entropy', 'max_depth': 59, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:08:20,431] Trial 41 finished with value: 0.8163330293237456 and parameters: {'n_estimators': 106, 'criterion': 'gini', 'max_depth': 28, 'min_samples_split': 8, 'min_samples_leaf': 2}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:08:28,510] Trial 42 finished with value: 0.8180101957435143 and parameters: {'n_estimators': 93, 'criterion': 'gini', 'max_depth': 33, 'min_samples_split': 9, 'min_samples_leaf': 2}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:08:37,567] Trial 43 finished with value: 0.8171296574532431 and parameters: {'n_estimators': 95, 'criterion': 'gini', 'max_depth': 39, 'min_samples_split': 10, 'min_samples_leaf': 3}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:08:43,450] Trial 44 finished with value: 0.8156623279402384 and parameters: {'n_estimators': 61, 'criterion': 'gini', 'max_depth': 33, 'min_samples_split': 9, 'min_samples_leaf': 5}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:08:50,183] Trial 45 finished with value: 0.8172975480660245 and parameters: {'n_estimators': 80, 'criterion': 'gini', 'max_depth': 34, 'min_samples_split': 14, 'min_samples_leaf': 1}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:09:00,871] Trial 46 finished with value: 0.8116798023410496 and parameters: {'n_estimators': 143, 'criterion': 'gini', 'max_depth': 47, 'min_samples_split': 13, 'min_samples_leaf': 20}. Best is trial 0 with value: 0.8188065075624582.
