[I 2025-04-07 22:00:09,568] A new study created in RDB with name: catboost-num_features-13
[I 2025-04-07 22:05:23,533] Trial 16 finished with value: 0.7883282635780698 and parameters: {'iterations': 185, 'learning_rate': 0.001010480319748452, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.784409597423021, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.943549064240828}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:05:40,273] Trial 17 finished with value: 0.8046786548366519 and parameters: {'iterations': 112, 'learning_rate': 0.0512412883274167, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.6358934938332899, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9884102929490848}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:05:56,059] Trial 18 finished with value: 0.8168783662911357 and parameters: {'iterations': 136, 'learning_rate': 0.18727306480132277, 'objective': 'Logloss', 'colsample_bylevel': 0.8134132633372433, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.48195228827611325}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:06:44,315] Trial 19 finished with value: 0.7934009886462083 and parameters: {'iterations': 128, 'learning_rate': 0.9153563308690001, 'objective': 'Logloss', 'colsample_bylevel': 0.9782915408441092, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS', 'subsample': 0.3956729271379396}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:06:53,814] Trial 20 finished with value: 0.8170458175837038 and parameters: {'iterations': 91, 'learning_rate': 0.37817342792307324, 'objective': 'Logloss', 'colsample_bylevel': 0.8365970491533834, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5044196375977237}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:07:02,505] Trial 21 finished with value: 0.816207682480437 and parameters: {'iterations': 89, 'learning_rate': 0.3147078867094455, 'objective': 'Logloss', 'colsample_bylevel': 0.8410827287294287, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5236689250258111}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:07:17,353] Trial 22 finished with value: 0.8164590966522042 and parameters: {'iterations': 65, 'learning_rate': 0.4647804575363874, 'objective': 'Logloss', 'colsample_bylevel': 0.9071477585670058, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5220152824345299}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:07:30,240] Trial 23 finished with value: 0.8156626618236006 and parameters: {'iterations': 136, 'learning_rate': 0.18511133541611008, 'objective': 'Logloss', 'colsample_bylevel': 0.7812946222241426, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.2829426512191876}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:08:06,088] Trial 24 finished with value: 0.812895577099819 and parameters: {'iterations': 172, 'learning_rate': 0.0602313693594085, 'objective': 'Logloss', 'colsample_bylevel': 0.8059339964104161, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6174801584474878}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:08:44,543] Trial 25 finished with value: 0.8141108598199491 and parameters: {'iterations': 104, 'learning_rate': 0.5081975743560699, 'objective': 'Logloss', 'colsample_bylevel': 0.9002643463199616, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.28686288597627174}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:08:51,988] Trial 26 finished with value: 0.8159140935681763 and parameters: {'iterations': 81, 'learning_rate': 0.20731028194024784, 'objective': 'Logloss', 'colsample_bylevel': 0.7159405594388706, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.4879538360448688}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:09:11,354] Trial 27 finished with value: 0.7959165361885632 and parameters: {'iterations': 140, 'learning_rate': 0.017131393188293192, 'objective': 'Logloss', 'colsample_bylevel': 0.6073163713286333, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6038411907051879}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:09:34,416] Trial 28 finished with value: 0.8017020143710429 and parameters: {'iterations': 104, 'learning_rate': 0.04294261053406674, 'objective': 'Logloss', 'colsample_bylevel': 0.9946442980573096, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS', 'subsample': 0.29342082911547107}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:09:45,779] Trial 29 finished with value: 0.8188904880144658 and parameters: {'iterations': 117, 'learning_rate': 0.39005427520939867, 'objective': 'Logloss', 'colsample_bylevel': 0.7484420603888683, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.0646380650043179}. Best is trial 0 with value: 0.8188906637425513.
